,Unnamed: 0,TAG,Species,QUAD,Hectare,XCO,YCO,Year,DBH,Size Class,Size Class by Inch,Status,Age,Age Class,Density,AGB,Carbon,Basal Area,Dom,RFre,RDom,RDen,IV,Growth,Growth rate,Height,LifeSpan
364,715,2777B,GIRONE,19,1,34.4,70.1,2019,31.7,Canopy,12-17,Alive,7,Young,6.0,"19,036.04",0.89,0.28,0.14,"1,200.00",14.05,600.00,"1,814.05",0.6,0.3,31.1,0
921,1753,3460C,XYLOCA,46,2,83.4,185.1,2019,23.9,Understory,6-11,Alive,7,Young,0.5,618.62,0.03,0.21,0.11,100.00,10.59,50.00,160.59,1.1,0.55,26.8,6
702,1334,3182C,CALODI,35,2,83.8,132.8,2019,13.5,Understory,1-5,Alive,7,Young,10.0,"2,010.28",0.09,0.12,0.06,"2,000.00",5.98,"1,000.00","3,005.98",0.2,0.1,18.7,5
495,932,2935A,ALANEB,25,1,97.0,94.2,2019,14.2,Understory,6-11,Alive,7,Young,4.5,"1,057.48",0.05,0.13,0.06,900.00,6.29,450.00,"1,356.29",0.5,0.25,19.4,5
694,1315,3169,DIPTC1,34,2,78.4,122.0,2019,79.2,Emergent,>24,Alive,75,Mature,13.5,"1,103,746.65",51.88,0.7,0.35,"2,700.00",35.09,"1,350.00","4,085.09",0.8,0.4,44.0,6
685,1304,3161C,ALANEB,34,2,73.4,128.8,2019,14.6,Understory,6-11,Alive,7,Young,4.5,"1,152.65",0.05,0.13,0.06,900.00,6.47,450.00,"1,356.47",1.1,0.55,19.7,5
974,1845,3521A,CROTAR,47,2,73.8,182.8,2019,16.0,Understory,6-11,Alive,7,Young,8.0,"2,727.69",0.13,0.14,0.07,"1,600.00",7.09,800.00,"2,407.09",0.8,0.4,21.0,0
933,1779,3482,SARADE,46,2,91.6,199.5,2019,21.5,Understory,6-11,Alive,56,Intermediate,36.5,"31,967.23",1.5,0.19,0.1,"7,300.00",9.53,"3,650.00","10,959.53",-0.4,-0.2,25.2,15
403,794,2830,PTEREC,22,1,28.4,85.4,2019,33.6,Canopy,12-17,Alive,58,Intermediate,4.0,"15,463.69",0.73,0.3,0.15,800.00,14.89,400.00,"1,214.89",29.9,14.95,32.0,0
30,58,2349B,APORBR,2,1,24.1,7.1,2019,12.3,Understory,1-5,Alive,7,Young,5.0,755.81,0.04,0.11,0.05,"1,000.00",5.45,500.00,"1,505.45",0.3,0.15,17.5,0
540,1021,2987A,SHORM1,27,2,76.6,102.8,2019,33.5,Canopy,12-17,Alive,28,Intermediate,21.0,"80,364.61",3.78,0.3,0.15,"4,200.00",14.84,"2,100.00","6,314.84",2.5,1.25,31.9,10
185,381,2563,SHORAC,10,1,14.6,21.5,2019,45.8,Canopy,18-23,Alive,53,Intermediate,8.5,"95,996.55",4.51,0.41,0.2,"1,700.00",20.29,850.00,"2,570.29",0.8,0.4,36.6,0
262,536,2657D,POL1HY,14,1,72.6,40.5,2019,26.5,Understory,6-11,Alive,7,Young,3.0,"5,219.97",0.25,0.23,0.12,600.00,11.74,300.00,911.74,0.6,0.3,28.4,0
508,956,2949,LANSDO,26,2,85.1,119.5,2019,54.6,Canopy,18-23,Alive,61,Mature,6.5,"136,943.46",6.44,0.48,0.24,"1,300.00",24.19,650.00,"1,974.19",2.1,1.05,39.1,0
868,1671,3408,SHORDA,43,2,56.5,171.1,2019,94.2,Emergent,>24,Alive,78,Mature,0.5,"78,248.15",3.68,0.83,0.42,100.00,41.74,50.00,191.74,1.0,0.5,46.1,0
788,1515,3299,SANTLA,39,2,24.7,159.1,2019,76.5,Emergent,>24,Alive,72,Mature,9.0,"647,068.97",30.41,0.68,0.34,"1,800.00",33.9,900.00,"2,733.90",0.7,0.35,43.6,4
867,1670,3407,DACRR1,43,2,54.4,172.2,2019,30.8,Canopy,12-17,Alive,59,Intermediate,22.0,"63,325.01",2.98,0.27,0.14,"4,400.00",13.65,"2,200.00","6,613.65",-0.2,-0.1,30.6,0
724,1380,3214,SARADE,36,2,92.7,157.6,2019,30.3,Canopy,12-17,Alive,59,Intermediate,36.5,"99,421.65",4.67,0.27,0.13,"7,300.00",13.43,"3,650.00","10,963.43",-0.6,-0.3,30.4,15
593,1126,3060,EUGEP3,30,2,2.9,114.5,2019,48.5,Canopy,18-23,Alive,58,Intermediate,3.0,"41,465.41",1.95,0.43,0.21,600.00,21.49,300.00,921.49,0.9,0.45,37.4,8
168,344,2532D,SANTLA,9,1,36.0,30.5,2019,12.8,Understory,1-5,Alive,7,Young,9.0,"1,536.44",0.07,0.11,0.06,"1,800.00",5.67,900.00,"2,705.67",0.0,0.0,18.0,4
538,1014,2982A,KNEMPA,27,2,79.2,119.2,2019,14.1,Understory,6-11,Alive,35,Intermediate,1.0,229.91,0.01,0.12,0.06,200.00,6.25,100.00,306.25,0.2,0.1,19.3,0
597,1137,3068,IRVIMA,30,2,14.5,105.8,2019,80.9,Emergent,>24,Alive,76,Mature,1.0,"88,472.93",4.16,0.72,0.36,200.00,35.85,100.00,335.85,0.1,0.05,44.3,0
249,517,2648D,BEILDI,14,1,67.2,50.0,2019,13.0,Understory,1-5,Alive,7,Young,5.0,895.09,0.04,0.12,0.06,"1,000.00",5.76,500.00,"1,505.76",-0.2,-0.1,18.2,6
562,1057,3007B,GARCPA,28,2,56.8,115.1,2019,14.4,Understory,6-11,Alive,7,Young,2.0,490.81,0.02,0.13,0.06,400.00,6.38,200.00,606.38,0.0,0.0,19.6,0
1021,1918,3554B,GARCBA,50,2,2.7,186.2,2019,34.9,Canopy,12-17,Alive,35,Intermediate,0.5,"2,200.28",0.1,0.31,0.15,100.00,15.46,50.00,165.46,2.0,1.0,32.6,0
980,1852,3525,DRYPLO,48,2,49.2,184.0,2019,20.9,Understory,6-11,Alive,53,Intermediate,8.5,"6,791.97",0.32,0.19,0.09,"1,700.00",9.26,850.00,"2,559.26",0.1,0.05,24.8,0
90,168,2423A,MACALO,5,1,95.0,18.2,2019,14.9,Understory,6-11,Alive,26,Intermediate,17.0,"4,638.90",0.22,0.13,0.07,"3,400.00",6.6,"1,700.00","5,106.60",0.6,0.3,20.0,0
372,737,2794,SHORP2,20,1,17.6,74.4,2019,24.5,Understory,6-11,Alive,54,Intermediate,11.5,"15,436.87",0.73,0.22,0.11,"2,300.00",10.86,"1,150.00","3,460.86",1.6,0.8,27.2,0
485,918,2923,SHORM1,25,1,82.7,95.2,2019,19.2,Understory,6-11,Alive,52,Intermediate,21.0,"12,768.47",0.6,0.17,0.09,"4,200.00",8.51,"2,100.00","6,308.51",0.7,0.35,23.6,10
842,1631,3380,PALAMA,42,2,35.9,164.5,2019,30.0,Canopy,12-17,Alive,52,Intermediate,2.0,"5,268.28",0.25,0.27,0.13,400.00,13.29,200.00,613.29,1.2,0.6,30.2,0
967,1834,3516,PTYCCO,47,2,77.4,188.2,2019,16.8,Understory,6-11,Alive,52,Intermediate,7.0,"2,783.06",0.13,0.15,0.07,"1,400.00",7.44,700.00,"2,107.44",-0.2,-0.1,21.7,0
435,843,2871A,MONOMA,23,1,52.8,99.7,2019,12.1,Understory,1-5,Alive,4,Young,15.0,"2,157.08",0.1,0.11,0.05,"3,000.00",5.36,"1,500.00","4,505.36",1.7,0.85,17.3,11
276,563,2676,XANTST,15,1,96.3,59.5,2019,45.5,Canopy,18-23,Alive,72,Mature,3.5,"38,625.33",1.82,0.4,0.2,700.00,20.16,350.00,"1,070.16",1.4,0.7,36.5,0
379,751,2803,ALANRI,20,1,13.6,60.9,2019,19.0,Understory,6-11,Alive,48,Intermediate,8.0,"4,703.72",0.22,0.17,0.08,"1,600.00",8.42,800.00,"2,408.42",0.3,0.15,23.4,9
545,1031,2993,INTSPA,28,2,49.8,103.8,2019,44.4,Canopy,12-17,Alive,65,Mature,3.0,"30,382.53",1.43,0.39,0.2,600.00,19.67,300.00,919.67,-1.1,-0.55,36.2,0
271,554,2669,MANGQU,15,1,85.8,59.6,2019,64.7,Emergent,>24,Alive,63,Mature,7.0,"272,140.88",12.79,0.57,0.29,"1,400.00",28.67,700.00,"2,128.67",1.2,0.6,41.5,0
591,1118,3053,MESUFE,30,2,9.3,103.0,2019,24.4,Understory,6-11,Alive,54,Intermediate,7.5,"9,932.89",0.47,0.22,0.11,"1,500.00",10.81,750.00,"2,260.81",0.6,0.3,27.1,0
1023,1921,3555A,CALODI,50,2,5.4,191.2,2019,22.8,Understory,6-11,Alive,35,Intermediate,10.0,"10,603.15",0.5,0.2,0.1,"2,000.00",10.1,"1,000.00","3,010.10",0.3,0.15,26.1,5
73,128,2391A,DACRRI,4,1,71.0,7.6,2019,21.6,Understory,6-11,Alive,26,Intermediate,0.5,444.55,0.02,0.19,0.1,100.00,9.57,50.00,159.57,1.0,0.5,25.3,7
273,556,2670,EUGEFL,15,1,87.1,58.7,2019,40.6,Canopy,12-17,Alive,57,Intermediate,1.0,"7,411.78",0.35,0.36,0.18,200.00,17.99,100.00,317.99,0.0,0.0,34.8,0
635,1204,3098C,SHORP2,32,2,32.0,133.5,2019,28.1,Understory,6-11,Alive,7,Young,11.5,"24,325.11",1.14,0.25,0.12,"2,300.00",12.45,"1,150.00","3,462.45",3.3,1.65,29.3,0
