TAG,Species,QUAD,Hectare,XCO,YCO,Year,DBH,Size Class,Status,Age,Age Class,SP,Frequency,rEQUENCY,No.of Individual of Species,Density,AGB,BGBC,AGBC,BGB,Carbon,Price of Carbon,Basal Area,Dom,RFre,RDom,RDen,IV,Growth,Growth rate,Height,Volume Growth,% Volume Growth,Harvest / Post-Felling,Damage,Lifespan,Species_V1,age_1
2541A,HORSPS,10,1,1,32.4,2015.00,12.9,Understory,Alive,3,Young,,,2,2,1,174.83,41.09,82.17,87.42,0.01,0.25,0.11,0.06,0.01,5.72,10.29,16.01,12.9,6.45,18.1,96.85,0.97,,0,0,NonDipterocarp,15
2541B,HUNTZE,10,1,0.5,35,2015.00,12,Understory,Alive,3,Young,,,1,1,0.5,70.11,14.37,32.95,30.58,0,0.1,0.11,0.05,0,5.32,5.14,10.46,12,6,17.2,79.61,0.8,,0,0,NonDipterocarp,15
2542,XANTAF,10,1,0.7,35.7,2015.00,0,Dead,Dead,0,Dead,,,2,2,1,0,0,0,0,0,0,0,0,0.01,0,10.29,10.29,0,0,0,0,0,,0,7,NonDipterocarp,0
2543,APORPE,10,1,0.6,38.8,2015.00,0,Dead,Dead,0,Dead,,,5,5,2.5,0,0,0,0,0,0,0,0,0.02,0,25.72,25.74,0,0,0,0,0,,0,0,NonDipterocarp,0
2544,CANAPA,10,1,0.7,39.3,2015.00,0,Dead,Dead,0,Dead,,,6,6,3,0,0,0,0,0,0,0,0,0.02,0,30.86,30.88,0,0,0,0,0,,0,0,NonDipterocarp,0
2545,TRI2MA,10,1,2.9,39.8,2015.00,0,Dead,Dead,0,Dead,,,2,2,1,0,0,0,0,0,0,0,0,0.01,0,10.29,10.29,0,0,0,0,0,,0,0,NonDipterocarp,0
2546,SANTLA,10,1,9.8,37.3,2015.00,16.2,Understory,Alive,48,Intermediate,,,18,18,9,3190.81,749.84,"1,499.68","1,595.40",0.15,4.65,0.14,0.07,0.06,7.18,92.59,99.83,0.4,0.2,21.2,178.26,1.78,,50,4,NonDipterocarp,17
2547,QUERAR,10,1,10.3,39.6,2015.00,68.7,Emergent,Alive,54,Intermediate,,,9,9,4.5,217779.62,"51,178.21","102,356.42","108,889.81",10.24,317.3,0.61,0.3,0.03,30.44,46.3,76.77,0,0,42.2,"6,400.20",64,,20,0,NonDipterocarp,36
2547A,AGLAE1,10,1,8.5,39.1,2015.00,13.3,Understory,Alive,31,Intermediate,,,1,1,0.5,96,19.68,45.12,41.87,0,0.14,0.12,0.06,0,5.89,5.14,11.04,3.5,1.75,18.5,105.18,1.05,,0,0,NonDipterocarp,16
2548A,DACRRO,10,1,8.3,35,2015.00,15.4,Understory,Alive,44,Intermediate,,,9,9,4.5,1361.16,319.87,639.74,680.58,0.06,1.98,0.14,0.07,0.03,6.82,46.3,53.15,0.2,0.1,20.5,155.81,1.56,,50,7,NonDipterocarp,16
2549,DACRR1,10,1,12.7,33.1,2015.00,17.1,Understory,Alive,49,Intermediate,,,44,44,22,9250.03,"2,173.76","4,347.52","4,625.02",0.43,13.48,0.15,0.08,0.15,7.58,226.34,234.06,0.2,0.1,21.9,205.69,2.06,,50,0,NonDipterocarp,17
2550,CROTLA,10,1,15.5,35.7,2015.00,0,Dead,Dead,0,Dead,,,22,22,11,0,0,0,0,0,0,0,0,0.07,0,113.17,113.24,0,0,0,0,0,,0,5,NonDipterocarp,0
2552,MESUGR,10,1,19.5,33.6,2015.00,38.4,Canopy,Alive,54,Intermediate,,,3,3,1.5,9166.87,"2,154.22","4,308.43","4,583.44",0.43,13.36,0.34,0.17,0.01,17.02,15.43,32.46,0.3,0.15,34,"1,609.20",16.09,,40,0,NonDipterocarp,25
2553,EUGEDE,10,1,16.2,30.4,2015.00,0,Dead,Dead,0,,,,7,7,3.5,0,0,0,0,0,0,0,0,0.02,0,36.01,36.03,-12.9,-6.45,0,0,0,,0,6,NonDipterocarp,0
2554,GANUSN,10,1,19.8,38.7,2015.00,15,Understory,Alive,44,Intermediate,,,8,8,4,1114.49,261.91,523.81,557.25,0.05,1.62,0.13,0.07,0.03,6.65,41.15,47.83,0.4,0.2,20.1,145.24,1.45,,50,0,NonDipterocarp,16
2554A,SANTLA,10,1,19.5,38.5,2015.00,12.3,Understory,Alive,3,Young,,,18,18,9,1360.45,319.71,639.41,680.23,0.06,1.98,0.11,0.05,0.06,5.45,92.59,98.1,12.3,6.15,17.5,85.13,0.85,,0,4,NonDipterocarp,15
2555,ARTORI,10,1,13.1,28.8,2015.00,28.8,Understory,Alive,51,Intermediate,,,3,3,1.5,3445.11,809.6,"1,619.20","1,722.56",0.16,5.02,0.26,0.13,0.01,12.76,15.43,28.2,1.8,0.9,29.6,788.78,7.89,,50,11,NonDipterocarp,21
2556,KNEMMA,10,1,12.3,28.8,2015.00,14.8,Understory,Alive,49,Intermediate,,,11,11,5.5,1469.68,345.38,690.75,734.84,0.07,2.14,0.13,0.07,0.04,6.56,56.58,63.18,0.5,0.25,19.9,140.13,1.4,,0,6,NonDipterocarp,16
2557,DIOSBU,10,1,12.4,27.9,2015.00,23.9,Understory,Alive,52,Intermediate,,,10,10,5,6186.22,"1,453.76","2,907.52","3,093.11",0.29,9.01,0.21,0.11,0.03,10.59,51.44,62.06,0.8,0.4,26.8,491.39,4.91,,50,0,NonDipterocarp,20
2558,EUGEFI,10,1,12.3,28,2015.00,0,Dead,Dead,0,Dead,,,5,5,2.5,0,0,0,0,0,0,0,0,0.02,0,25.72,25.74,0,0,0,0,0,,0,0,NonDipterocarp,0
2559,POMEPA,10,1,14.1,26,2015.00,49.5,Canopy,Alive,60,Mature,,,6,6,3,44572.48,"10,474.53","20,949.07","22,286.24",2.09,64.94,0.44,0.22,0.02,21.93,30.86,52.82,-0.7,-0.35,37.7,"2,968.66",29.69,,30,0,NonDipterocarp,29
2559A,INTSPA,10,1,15,27.4,2015.00,10.5,Understory,Alive,3,Young,,,6,6,3,281.32,66.11,132.22,140.66,0.01,0.41,0.09,0.05,0.02,4.65,30.86,35.54,10.5,5.25,15.6,55.29,0.55,,0,0,NonDipterocarp,15
2560,GREWAN,10,1,19.1,25.6,2015.00,0,Dead,Dead,0,Dead,,,1,1,0.5,0,0,0,0,0,0,0,0,0,0,5.14,5.15,0,0,0,0,0,,0,0,NonDipterocarp,0
2561,MESUGR,10,1,16.3,21.5,2015.00,0,Dead,Dead,0,Dead,,,3,3,1.5,0,0,0,0,0,0,0,0,0.01,0,15.43,15.44,0,0,0,0,0,,0,0,NonDipterocarp,0
2562,DIOSAP,10,1,16.1,23.6,2015.00,0,Dead,Dead,0,Dead,,,7,7,3.5,0,0,0,0,0,0,0,0,0.02,0,36.01,36.03,0,0,0,0,0,,0,8,NonDipterocarp,0
2563,SHORAC,10,1,14.6,21.5,2015.00,43.5,Canopy,Alive,49,Intermediate,,,17,17,8.5,80127.15,"18,829.88","37,659.76","40,063.58",3.77,116.75,0.39,0.19,0.06,19.27,87.45,106.78,1.1,0.55,35.9,"2,178.07",21.78,,40,0,Dipterocarp,27
2563A,EUGERI,10,1,18.1,21.2,2015.00,0,Dead,Dead,0,Dead,,,9,9,4.5,0,0,0,0,0,0,0,0,0.03,0,46.3,46.33,0,0,0,0,0,,0,0,NonDipterocarp,0
2564,KNEMSC,10,1,14,21.4,2015.00,21.4,Understory,Alive,51,Intermediate,,,15,15,7.5,6469.99,"1,520.45","3,040.89","3,234.99",0.3,9.43,0.19,0.09,0.05,9.48,77.16,86.69,0.2,0.1,25.2,369.75,3.7,,50,0,NonDipterocarp,19
2565,DRYPLO,10,1,11.8,20.9,2015.00,15.5,Understory,Alive,49,Intermediate,,,17,17,8.5,2623.66,616.56,"1,233.12","1,311.83",0.12,3.82,0.14,0.07,0.06,6.87,87.45,94.37,4.9,2.45,20.6,158.52,1.59,,50,0,NonDipterocarp,16
2566,MACALO,11,1,7.1,40.3,2015.00,15.2,Understory,Alive,49,Intermediate,,,34,34,17,4936.4,"1,160.05","2,320.11","2,468.20",0.23,7.19,0.13,0.07,0.11,6.74,174.9,181.75,-0.1,-0.05,20.3,150.47,1.5,,50,0,NonDipterocarp,16
2567,MACALO,11,1,10.6,40.5,2015.00,0,Dead,Dead,0,Dead,,,34,34,17,0,0,0,0,0,0,0,0,0.11,0,174.9,175.01,0,0,0,0,0,,0,0,NonDipterocarp,0
2568,SCA1SP,11,1,9.4,44.4,2015.00,0,Dead,Dead,0,Dead,,,12,12,6,0,0,0,0,0,0,0,0,0.04,0,61.73,61.77,0,0,0,0,0,,0,0,NonDipterocarp,0
2569,BOUEMA,11,1,10.5,46,2015.00,36.1,Canopy,Alive,55,Intermediate,,,4,4,2,9881.56,"2,322.17","4,644.33","4,940.78",0.46,14.4,0.32,0.16,0.01,16,20.58,36.59,1.9,0.95,33.1,"1,383.19",13.83,,40,14,NonDipterocarp,24
2569A,PSYD10,11,1,10.8,47.3,2015.00,11.8,Understory,Alive,3,Young,,,1,1,0.5,66.63,13.66,31.31,29.06,0,0.1,0.1,0.05,0,5.23,5.14,10.38,11.8,5.9,17,76.06,0.76,,0,24,NonDipterocarp,15
2569B,EUGENA,11,1,11.5,48.5,2015.00,14.1,Understory,Alive,3,Young,,,3,3,1.5,344.86,81.04,162.09,172.43,0.02,0.5,0.12,0.06,0.01,6.25,15.43,21.69,14.1,7.05,19.3,123.07,1.23,,0,0,NonDipterocarp,16
2569C,NEOSKI,11,1,13.4,47.8,2015.00,0,Dead,Dead,0,Dead,,,13,13,6.5,0,0,0,0,0,0,0,0,0.04,0,66.87,66.92,0,0,0,0,0,,0,0,NonDipterocarp,0
2570,DACRR1,11,1,9.1,47.1,2015.00,19.2,Understory,Alive,49,Intermediate,,,44,44,22,13376.49,"3,143.48","6,286.95","6,688.25",0.63,19.49,0.17,0.09,0.15,8.51,226.34,234.99,-1.5,-0.75,23.6,278.86,2.79,,50,0,NonDipterocarp,18
2570A,CALOTE,11,1,5.2,47.1,2015.00,21.6,Understory,Alive,44,Intermediate,,,6,6,3,2667.33,626.82,"1,253.64","1,333.66",0.13,3.89,0.19,0.1,0.02,9.57,30.86,40.46,1.1,0.55,25.3,378.76,3.79,,50,0,NonDipterocarp,19
2570B,CINNIN,11,1,1.2,46.7,2015.00,0,Dead,Dead,0,,,,2,2,1,0,0,0,0,0,0,0,0,0.01,0,10.29,10.29,-19.1,-9.55,0,0,0,,0,0,NonDipterocarp,0
2570C,PTEIEC,11,1,2.5,46.2,2015.00,12.2,Understory,Alive,3,Young,,,1,1,0.5,73.73,15.11,34.65,32.16,0,0.11,0.11,0.05,0,5.41,5.14,10.55,12.2,6.1,17.4,83.27,0.83,,0,0,NonDipterocarp,15
2571,POL1JE,11,1,10.8,48.3,2015.00,0,Dead,Dead,0,,,,6,6,3,0,0,0,0,0,0,0,0,0.02,0,30.86,30.88,-27,-13.5,0,0,0,,0,0,NonDipterocarp,0
2572,DRYPLO,11,1,0.4,45,2015.00,13.3,Understory,Alive,50,Intermediate,,,17,17,8.5,1632.05,383.53,767.06,816.02,0.08,2.38,0.12,0.06,0.06,5.89,87.45,93.4,0.2,0.1,18.5,105.18,1.05,,0,0,NonDipterocarp,16
2572A,ARTORI,11,1,3,43.8,2015.00,15.3,Understory,Alive,31,Intermediate,,,3,3,1.5,444.58,104.48,208.95,222.29,0.02,0.65,0.14,0.07,0.01,6.78,15.43,22.22,0.5,0.25,20.4,153.12,1.53,,50,11,NonDipterocarp,16
2572B,DIOSAP,11,1,0,0,2015.00,0,Dead,Dead,0,,,,7,7,3.5,0,0,0,0,0,0,0,0,0.02,0,36.01,36.03,-25.9,-12.95,0,0,0,,0,8,NonDipterocarp,0
2572C,PORTAN,11,1,0.5,42.2,2015.00,0,Dead,Dead,0,Dead,,,23,23,11.5,0,0,0,0,0,0,0,0,0.08,0,118.31,118.39,0,0,0,0,0,,0,0,NonDipterocarp,0
2572D,IXONIC,11,1,3.7,40.4,2015.00,21.2,Understory,Alive,31,Intermediate,,,21,21,10.5,8786.36,"2,064.80","4,129.59","4,393.18",0.41,12.8,0.19,0.09,0.07,9.39,108.02,117.49,7.1,3.55,25,360.87,3.61,,50,0,NonDipterocarp,19
2572E,EUGEPU,11,1,3.8,44.4,2015.00,0,Dead,Dead,0,Dead,,,4,4,2,0,0,0,0,0,0,0,0,0.01,0,20.58,20.59,0,0,0,0,0,,0,0,NonDipterocarp,0
2573,BEILDI,11,1,9.4,57.4,2015.00,0,Dead,Dead,0,Dead,,,10,10,5,0,0,0,0,0,0,0,0,0.03,0,51.44,51.47,0,0,0,0,0,,0,6,NonDipterocarp,0
2574,DIALPA,11,1,5.1,57.3,2015.00,17,Understory,Alive,50,Intermediate,,,1,1,0.5,206.36,48.5,96.99,103.18,0.01,0.3,0.15,0.08,0,7.53,5.14,12.68,-0.4,-0.2,21.8,202.53,2.03,,50,7,NonDipterocarp,17
2575,EUGEFI,11,1,3.3,55.3,2015.00,20.5,Understory,Alive,49,Intermediate,,,5,5,2.5,1876.68,441.02,882.04,938.34,0.09,2.73,0.18,0.09,0.02,9.08,25.72,34.82,1.1,0.55,24.5,330.77,3.31,,50,0,NonDipterocarp,18
2575A,SHORP1,11,1,1.2,56.2,2015.00,27.2,Understory,Alive,24,Intermediate,,,24,24,12,22770.88,"5,351.16","10,702.32","11,385.44",1.07,33.18,0.24,0.12,0.08,12.05,123.46,135.59,4.1,2.05,28.8,682.91,6.83,,50,0,Dipterocarp,21
2575B,PAYELU,11,1,6.5,56.2,2015.00,12.3,Understory,Alive,3,Young,,,12,12,6,906.97,213.14,426.27,453.48,0.04,1.32,0.11,0.05,0.04,5.45,61.73,67.22,12.3,6.15,17.5,85.13,0.85,,0,8,NonDipterocarp,15
2575C,APORAU,11,1,5.4,53.4,2015.00,11.8,Understory,Alive,3,Young,,,4,4,2,266.51,62.63,125.26,133.25,0.01,0.39,0.1,0.05,0.01,5.23,20.58,25.82,11.8,5.9,17,76.06,0.76,,0,6,NonDipterocarp,15
2576,HERISI,11,1,1.3,57.8,2015.00,20.8,Understory,Alive,48,Intermediate,,,4,4,2,1573.51,369.77,739.55,786.75,0.07,2.29,0.18,0.09,0.01,9.22,20.58,29.81,-1.4,-0.7,24.7,343.48,3.43,,50,0,NonDipterocarp,18
2577,XYLOFE,11,1,2.5,59.7,2015.00,0,Dead,Dead,0,Dead,,,2,2,1,0,0,0,0,0,0,0,0,0.01,0,10.29,10.29,0,0,0,0,0,,0,9,NonDipterocarp,0
2578,MALLPE,11,1,12.2,57.8,2015.00,23.8,Understory,Alive,49,Intermediate,,,12,12,6,7321.98,"1,720.66","3,441.33","3,660.99",0.34,10.67,0.21,0.11,0.04,10.55,61.73,72.31,0.3,0.15,26.7,486.15,4.86,,50,0,NonDipterocarp,20
2579,HORSS2,11,1,2.4,57.8,2015.00,0,Dead,Dead,0,,,,5,5,2.5,0,0,0,0,0,0,0,0,0.02,0,25.72,25.74,-23.5,-11.75,0,0,0,,0,0,NonDipterocarp,0
2580,MANGQU,11,1,12.8,56,2015.00,0,Dead,Dead,0,Dead,,,14,14,7,0,0,0,0,0,0,0,0,0.05,0,72.02,72.06,0,0,0,0,0,,0,0,NonDipterocarp,0
2580A,LITSNI,11,1,0,0,2015.00,0,Dead,Dead,0,Dead,,,1,1,0.5,0,0,0,0,0,0,0,0,0,0,5.14,5.15,0,0,0,0,0,,0,0,NonDipterocarp,0
2581,EUGEPR,11,1,13.6,55.4,2015.00,0,Dead,Dead,0,Dead,,,3,3,1.5,0,0,0,0,0,0,0,0,0.01,0,15.43,15.44,0,0,0,0,0,,0,7,NonDipterocarp,0
2582,BOUEMA,11,1,14.4,54,2015.00,0,Dead,Dead,0,Dead,,,4,4,2,0,0,0,0,0,0,0,0,0.01,0,20.58,20.59,0,0,0,0,0,,0,14,NonDipterocarp,0
2583,XYLOM2,11,1,15.1,53.3,2015.00,0,Dead,Dead,0,Dead,,,6,6,3,0,0,0,0,0,0,0,0,0.02,0,30.86,30.88,0,0,0,0,0,,0,0,NonDipterocarp,0
2585,CANALR,11,1,15.4,57.5,2015.00,0,Dead,Dead,0,Dead,,,8,8,4,0,0,0,0,0,0,0,0,0.03,0,41.15,41.18,0,0,0,0,0,,0,0,NonDipterocarp,0
2586,APORBR,11,1,17.8,59.2,2015.00,0,Dead,Dead,0,Dead,,,10,10,5,0,0,0,0,0,0,0,0,0.03,0,51.44,51.47,0,0,0,0,0,,0,0,NonDipterocarp,0
2587,MADHL1,11,1,19,55.3,2015.00,13.2,Understory,Alive,48,Intermediate,,,3,3,1.5,281.41,66.13,132.26,140.7,0.01,0.41,0.12,0.06,0.01,5.85,15.43,21.29,1.2,0.6,18.4,103.06,1.03,,0,13,NonDipterocarp,16
2588,BEILDI,11,1,18,52.9,2015.00,0,Dead,Dead,0,Dead,,,10,10,5,0,0,0,0,0,0,0,0,0.03,0,51.44,51.47,0,0,0,0,0,,0,6,NonDipterocarp,0
2589,BEILDI,11,1,18,50.9,2015.00,0,Dead,Dead,0,Dead,,,10,10,5,0,0,0,0,0,0,0,0,0.03,0,51.44,51.47,0,0,0,0,0,,0,6,NonDipterocarp,0
2589A,ARCHCL,11,1,15.5,51,2015.00,14.6,Understory,Alive,3,Young,,,1,1,0.5,128.07,26.25,60.19,55.86,0.01,0.19,0.13,0.06,0,6.47,5.14,11.62,14.6,7.3,19.7,135.12,1.35,,0,0,NonDipterocarp,16
2590,PEN1MO,11,1,16.5,48.7,2015.00,66.5,Emergent,Alive,64,Mature,,,8,8,4,171867.09,"40,388.77","80,777.53","85,933.55",8.08,250.41,0.59,0.29,0.03,29.47,41.15,70.65,0,0,41.8,"5,936.47",59.36,,20,0,NonDipterocarp,35
2590A,XANTAF,11,1,16.3,49,2015.00,10.5,Understory,Alive,3,Young,,,2,2,1,93.77,19.22,44.07,40.9,0,0.14,0.09,0.05,0.01,4.65,10.29,14.95,10.5,5.25,15.6,55.29,0.55,,0,7,NonDipterocarp,15
2591,KIBAAR,11,1,19.5,46.4,2015.00,17.4,Understory,Alive,49,Intermediate,,,5,5,2.5,1110.66,261.01,522.01,555.33,0.05,1.62,0.15,0.08,0.02,7.71,25.72,33.45,0.7,0.35,22.2,215.35,2.15,,50,0,NonDipterocarp,17
2592,KNEMHO,11,1,20,45.1,2015.00,13.3,Understory,Alive,48,Intermediate,,,2,2,1,192.01,45.12,90.24,96,0.01,0.28,0.12,0.06,0.01,5.89,10.29,16.19,0.7,0.35,18.5,105.18,1.05,,0,7,NonDipterocarp,16
2593,XYLOM2,11,1,18.5,43.1,2015.00,0,Dead,Dead,0,Dead,,,6,6,3,0,0,0,0,0,0,0,0,0.02,0,30.86,30.88,0,0,0,0,0,,0,0,NonDipterocarp,0
2593A,PIMEGR,11,1,14.4,41.3,2015.00,23.5,Understory,Alive,44,Intermediate,,,21,21,10.5,12291.29,"2,888.45","5,776.91","6,145.64",0.58,17.91,0.21,0.1,0.07,10.41,108.02,118.51,0.5,0.25,26.5,470.59,4.71,,50,0,NonDipterocarp,19
2619,SCA1SP,12,1,0,0,2015.00,0,Dead,Dead,0,Dead,,,12,12,6,0,0,0,0,0,0,0,0,0.04,0,61.73,61.77,0,0,0,0,0,,0,0,NonDipterocarp,0
2594,RYPAAC,12,1,23.6,42,2015.00,16.8,Understory,Alive,49,Intermediate,,,4,4,2,795.16,186.86,373.73,397.58,0.04,1.16,0.15,0.07,0.01,7.44,20.58,28.03,0.5,0.25,21.7,196.29,1.96,,50,0,NonDipterocarp,17
2595,CANALT,12,1,24.8,42.3,2015.00,15.3,Understory,Alive,44,Intermediate,,,2,2,1,296.38,69.65,139.3,148.19,0.01,0.43,0.14,0.07,0.01,6.78,10.29,17.07,2.1,1.05,20.4,153.12,1.53,,50,7,NonDipterocarp,16
2596,SHORM2,12,1,27.4,42.4,2015.00,18.7,Understory,Alive,50,Intermediate,,,28,28,14,7822.95,"1,838.39","3,676.79","3,911.47",0.37,11.4,0.17,0.08,0.09,8.29,144.03,152.41,0.1,0.05,23.2,260.25,2.6,,50,0,Dipterocarp,18
2597,ATUNEX,12,1,25.7,44.4,2015.00,0,Dead,Dead,0,,,,3,3,1.5,0,0,0,0,0,0,0,0,0.01,0,15.43,15.44,-49.1,-24.55,0,0,0,,0,7,NonDipterocarp,0
2598,LEPISE,12,1,28.2,46.2,2015.00,20.6,Understory,Alive,49,Intermediate,,,11,11,5.5,4194.1,985.61,"1,971.23","2,097.05",0.2,6.11,0.18,0.09,0.04,9.13,56.58,65.75,5.3,2.65,24.6,334.98,3.35,,50,0,NonDipterocarp,18
2599,DACRR1,12,1,27.9,48,2015.00,0,Dead,Dead,0,Dead,,,44,44,22,0,0,0,0,0,0,0,0,0.15,0,226.34,226.48,0,0,0,0,0,,0,0,NonDipterocarp,0
2600,EUGEPR,12,1,28.5,48.8,2015.00,0,Dead,Dead,0,Dead,,,3,3,1.5,0,0,0,0,0,0,0,0,0.01,0,15.43,15.44,0,0,0,0,0,,0,7,NonDipterocarp,0
2601,ANI1LA,12,1,23.4,46.2,2015.00,21.1,Understory,Alive,50,Intermediate,,,11,11,5.5,4532.42,"1,065.12","2,130.24","2,266.21",0.21,6.6,0.19,0.09,0.04,9.35,56.58,65.97,0.8,0.4,24.9,356.48,3.56,,50,0,NonDipterocarp,19
2602,ALANRI,12,1,21.6,46.1,2015.00,0,Dead,Dead,0,Dead,,,16,16,8,0,0,0,0,0,0,0,0,0.05,0,82.3,82.36,0,0,0,0,0,,0,9,NonDipterocarp,0
2603,ANI1LA,12,1,25.3,51.9,2015.00,31.1,Canopy,Alive,52,Intermediate,,,11,11,5.5,16357.9,"3,844.11","7,688.21","8,178.95",0.77,23.83,0.28,0.14,0.04,13.78,56.58,70.4,0.6,0.3,30.8,956.17,9.56,,40,0,NonDipterocarp,22
2603A,LEPISE,12,1,0,0,2015.00,0,Dead,Dead,0,Dead,,,11,11,5.5,0,0,0,0,0,0,0,0,0.04,0,56.58,56.62,0,0,0,0,0,,0,0,NonDipterocarp,0
2604,LANSDO,12,1,23.7,55.2,2015.00,0,Dead,Dead,0,Dead,,,13,13,6.5,0,0,0,0,0,0,0,0,0.04,0,66.87,66.92,0,0,0,0,0,,0,0,NonDipterocarp,0
2604A,TRIOMA,12,1,25.8,55.2,2015.00,16,Understory,Alive,3,Young,,,2,2,1,340.96,80.13,160.25,170.48,0.02,0.5,0.14,0.07,0.01,7.09,10.29,17.38,16,8,21,172.48,1.72,,50,27,NonDipterocarp,17
2604B ,PYREAC,12,1,23.5,57,2015.00,16.2,Understory,Alive,3,Young,,,1,1,0.5,177.27,41.66,83.32,88.63,0.01,0.26,0.14,0.07,0,7.18,5.14,12.33,16.2,8.1,21.2,178.26,1.78,,50,0,NonDipterocarp,17
2605,CALODI,12,1,24.5,57.5,2015.00,0,Dead,Dead,0,Dead,,,20,20,10,0,0,0,0,0,0,0,0,0.07,0,102.88,102.95,0,0,0,0,0,,0,5,NonDipterocarp,0
2606,SHORP2,12,1,24.2,58,2015.00,0,Dead,Dead,0,Dead,,,23,23,11.5,0,0,0,0,0,0,0,0,0.08,0,118.31,118.39,0,0,0,0,0,,0,0,Dipterocarp,0
2607,APORBR,12,1,28.3,56.2,2015.00,0,Dead,Dead,0,Dead,,,10,10,5,0,0,0,0,0,0,0,0,0.03,0,51.44,51.47,0,0,0,0,0,,0,0,NonDipterocarp,0
2607A,EUGESU,12,1,28.4,57.4,2015.00,0,Dead,Dead,0,Dead,,,5,5,2.5,0,0,0,0,0,0,0,0,0.02,0,25.72,25.74,0,0,0,0,0,,0,7,NonDipterocarp,0
2607B,GREWMI,12,1,31.2,57.4,2015.00,0,Dead,Dead,0,Dead,,,12,12,6,0,0,0,0,0,0,0,0,0.04,0,61.73,61.77,0,0,0,0,0,,0,0,NonDipterocarp,0
2608,IXONIC,12,1,31.9,56.5,2015.00,0,Dead,Dead,0,Dead,,,21,21,10.5,0,0,0,0,0,0,0,0,0.07,0,108.02,108.09,0,0,0,0,0,,0,0,NonDipterocarp,0
2609,ANI1LA,12,1,33,55.6,2015.00,0,Dead,Dead,0,Dead,,,11,11,5.5,0,0,0,0,0,0,0,0,0.04,0,56.58,56.62,0,0,0,0,0,,0,0,NonDipterocarp,0
2610,MESUGR,12,1,36,56.7,2015.00,0,Dead,Dead,0,Dead,,,3,3,1.5,0,0,0,0,0,0,0,0,0.01,0,15.43,15.44,0,0,0,0,0,,0,0,NonDipterocarp,0
2610A,KNEMLA,12,1,37.6,58.7,2015.00,0,Dead,Dead,0,Dead,,,8,8,4,0,0,0,0,0,0,0,0,0.03,0,41.15,41.18,0,0,0,0,0,,0,0,NonDipterocarp,0
2611,BACCPY,12,1,38.7,56.7,2015.00,0,Dead,Dead,0,Dead,,,3,3,1.5,0,0,0,0,0,0,0,0,0.01,0,15.43,15.44,0,0,0,0,0,,0,24,NonDipterocarp,0
2612,SANDKO,12,1,34.3,49.2,2015.00,22.4,Understory,Alive,50,Intermediate,,,8,8,4,4003.21,940.75,"1,881.51","2,001.60",0.19,5.83,0.2,0.1,0.03,9.93,41.15,51.1,0.2,0.1,25.8,416.03,4.16,,50,2,NonDipterocarp,19
2612A,DACRR1,12,1,36.2,57,2015.00,10.4,Understory,Alive,3,Young,,,44,44,22,2004.88,471.15,942.29,"1,002.44",0.09,2.92,0.09,0.05,0.15,4.61,226.34,231.09,10.4,5.2,15.5,53.85,0.54,,0,0,NonDipterocarp,15
2613,SCA1SP,12,1,35.2,48.2,2015.00,13,Understory,Alive,49,Intermediate,,,12,12,6,1074.11,252.42,504.83,537.05,0.05,1.56,0.12,0.06,0.04,5.76,61.73,67.53,0,0,18.2,98.9,0.99,,0,0,NonDipterocarp,16
2614,MEL1AU,12,1,35.2,47,2015.00,27.8,Understory,Alive,53,Intermediate,,,1,1,0.5,1020.37,239.79,479.58,510.19,0.05,1.49,0.25,0.12,0,12.32,5.14,17.47,0.6,0.3,29.1,721.61,7.22,,50,0,NonDipterocarp,21
2614A,MACALO,12,1,35.5,46.4,2015.00,0,Dead,Dead,0,Dead,,,34,34,17,0,0,0,0,0,0,0,0,0.11,0,174.9,175.01,0,0,0,0,0,,0,0,NonDipterocarp,0
2614B,CROTLA,12,1,36.6,47.2,2015.00,0,Dead,Dead,0,Dead,,,22,22,11,0,0,0,0,0,0,0,0,0.07,0,113.17,113.24,0,0,0,0,0,,0,5,NonDipterocarp,0
2615,BEILKU,12,1,34.7,45.9,2015.00,15,Understory,Alive,51,Intermediate,,,1,1,0.5,139.31,32.74,65.48,69.66,0.01,0.2,0.13,0.07,0,6.65,5.14,11.79,1,0.5,20.1,145.24,1.45,,50,0,NonDipterocarp,16
2616,RYPAAC,12,1,32,46.7,2015.00,12.9,Understory,Alive,48,Intermediate,,,4,4,2,349.66,82.17,164.34,174.83,0.02,0.51,0.11,0.06,0.01,5.72,20.58,26.31,0.3,0.15,18.1,96.85,0.97,,0,0,NonDipterocarp,15
2617,ALANRI,12,1,31.6,49.8,2015.00,23.4,Understory,Alive,51,Intermediate,,,16,16,8,9234.84,"2,170.19","4,340.38","4,617.42",0.43,13.46,0.21,0.1,0.05,10.37,82.3,92.73,0.4,0.2,26.5,465.47,4.65,,50,9,NonDipterocarp,19
2618,CANALR,12,1,30.9,43.5,2015.00,22.5,Understory,Alive,52,Intermediate,,,8,8,4,4061.79,954.52,"1,909.04","2,030.89",0.19,5.92,0.2,0.1,0.03,9.97,41.15,51.15,0.1,0.05,25.9,420.83,4.21,,50,0,NonDipterocarp,19
2618A,EUGEO1,12,1,30.8,40.4,2015.00,10.8,Understory,Alive,3,Young,,,2,2,1,102.03,20.92,47.95,44.5,0,0.15,0.1,0.05,0.01,4.79,10.29,15.08,10.8,5.4,16,59.72,0.6,,0,0,NonDipterocarp,15
