TAG,Species,QUAD,Hectare,XCO,YCO,Year,DBH,Size Class,Size Class by Inch,Status,Age,Age Class,Density,AGB,Carbon,Basal Area,Dom,RFre,RDom,RDen,IV,Growth,Growth rate,Height,LifeSpan
2963A,APORAU,26,2,92.3,103.5,2015,13.6,Understory,1-5,Alive,24,Intermediate,2.00,411.30,0.02,0.12,0.06,400.00,6.03,200.00,606.03,0.50,0.25,18.8,6
2964,CROTLA,27,2,60.6,102.5,2015,0.0,Dead,0,Dead,0,Dead,11.00,0.00,0.00,0.00,0.00,"2,200.00",0.00,"1,100.00","3,300.00",0.00,0.00,0.0,5
2964A,CALOTE,27,2,60.8,100.3,2015,20.6,Understory,6-11,Alive,44,Intermediate,3.00,"2,287.69",0.11,0.18,0.09,600.00,9.13,300.00,909.13,0.90,0.45,24.6,0
2965,ALANRI,27,2,64.2,104.1,2015,12.9,Understory,1-5,Alive,44,Intermediate,8.00,"1,398.66",0.07,0.11,0.06,"1,600.00",5.72,800.00,"2,405.72",-0.10,-0.05,18.1,9
2965A,DACRR1,27,2,62.2,101.8,2015,0.0,Dead,0,Dead,0,Dead,22.00,0.00,0.00,0.00,0.00,"4,400.00",0.00,"2,200.00","6,600.00",0.00,0.00,0.0,0
2966,SHORM2,27,2,68.3,104.2,2015,25.6,Understory,6-11,Alive,50,Intermediate,14.00,"21,724.00",1.02,0.23,0.11,"2,800.00",11.34,"1,400.00","4,211.34",-2.50,-1.25,27.8,0
2967,EUGEPU,27,2,69.1,108.0,2015,17.0,Understory,6-11,Alive,49,Intermediate,2.00,825.46,0.04,0.15,0.08,400.00,7.53,200.00,607.53,0.00,0.00,21.8,0
2967A,BUCHSE,27,2,70.6,107.6,2015,0.0,Dead,0,Dead,0,,6.50,0.00,0.00,0.00,0.00,"1,300.00",0.00,650.00,"1,950.00",-14.10,-7.05,0.0,0
2967B,OCHAAM,27,2,79.2,109.4,2015,15.0,Understory,6-11,Alive,31,Intermediate,10.00,"2,786.23",0.13,0.13,0.07,"2,000.00",6.65,"1,000.00","3,006.65",3.40,1.70,20.1,0
2967C,SINDWA,27,2,66.4,107.5,2015,14.0,Understory,6-11,Alive,3,Young,1.50,337.35,0.02,0.12,0.06,300.00,6.20,150.00,456.20,14.00,7.00,19.2,8
2967D,BACCPY,27,2,67.0,107.3,2015,14.0,Understory,6-11,Alive,3,Young,1.50,337.35,0.02,0.12,0.06,300.00,6.20,150.00,456.20,14.00,7.00,19.2,24
2967E,DIOSRU,27,2,70.4,109.0,2015,10.8,Understory,1-5,Alive,3,Young,1.00,102.03,0.00,0.10,0.05,200.00,4.79,100.00,304.79,10.80,5.40,16.0,25
2968,ACROPO,27,2,70.8,110.3,2015,0.0,Dead,0,Dead,0,Dead,2.50,0.00,0.00,0.00,0.00,500.00,0.00,250.00,750.00,0.00,0.00,0.0,0
2969,NEPHER,27,2,69.0,112.4,2015,0.0,Dead,0,Dead,0,Dead,2.50,0.00,0.00,0.00,0.00,500.00,0.00,250.00,750.00,0.00,0.00,0.0,0
2970,CALOTE,27,2,71.3,112.9,2015,17.5,Understory,6-11,Alive,49,Intermediate,3.00,"1,357.23",0.06,0.16,0.08,600.00,7.75,300.00,907.75,-0.10,-0.05,22.2,0
2970A,BACCRE,27,2,67.1,112.9,2015,0.0,Dead,0,Dead,0,,5.00,0.00,0.00,0.00,0.00,"1,000.00",0.00,500.00,"1,500.00",-16.70,-8.35,0.0,0
2971,LEPISE,27,2,71.6,115.2,2015,28.6,Understory,6-11,Alive,51,Intermediate,5.50,"12,340.68",0.58,0.25,0.13,"1,100.00",12.67,550.00,"1,662.67",-0.60,-0.30,29.5,0
2971A,SYMPAD,27,2,72.0,114.5,2015,17.3,Understory,6-11,Alive,31,Intermediate,0.50,218.11,0.01,0.15,0.08,100.00,7.67,50.00,157.67,0.90,0.45,22.1,0
2972,XYLOM2,27,2,63.7,114.9,2015,0.0,Dead,0,Dead,0,Dead,3.00,0.00,0.00,0.00,0.00,600.00,0.00,300.00,900.00,0.00,0.00,0.0,0
2973,KIBAAR,27,2,63.0,113.8,2015,0.0,Dead,0,Dead,0,Dead,2.50,0.00,0.00,0.00,0.00,500.00,0.00,250.00,750.00,0.00,0.00,0.0,0
2974,SHORM2,27,2,61.2,109.2,2015,31.5,Canopy,12-17,Alive,55,Intermediate,14.00,"43,476.35",2.04,0.28,0.14,"2,800.00",13.96,"1,400.00","4,213.96",0.20,0.10,31.0,0
2975,NEOBHE,27,2,63.8,117.4,2015,0.0,Dead,0,Dead,0,Dead,5.00,0.00,0.00,0.00,0.00,"1,000.00",0.00,500.00,"1,500.00",0.00,0.00,0.0,0
2976,SHORM2,27,2,63.3,120.0,2015,0.0,Dead,0,Dead,0,Dead,14.00,0.00,0.00,0.00,0.00,"2,800.00",0.00,"1,400.00","4,200.00",0.00,0.00,0.0,0
2976A,BUCHSE,27,2,60.5,119.2,2015,0.0,Dead,0,Dead,0,Dead,6.50,0.00,0.00,0.00,0.00,"1,300.00",0.00,650.00,"1,950.00",0.00,0.00,0.0,0
2977,LITHCU,27,2,66.7,119.9,2015,0.0,Dead,0,Dead,0,Dead,5.50,0.00,0.00,0.00,0.00,"1,100.00",0.00,550.00,"1,650.00",0.00,0.00,0.0,0
2978,SAR1GR,27,2,67.1,117.4,2015,73.7,Emergent,>24,Alive,63,Mature,5.00,"313,235.08",14.72,0.65,0.33,"1,000.00",32.66,500.00,"1,532.66",2.50,1.25,43.1,9
2978A,SCA2MA,27,2,68.1,117.2,2015,17.4,Understory,6-11,Alive,31,Intermediate,4.00,"1,777.06",0.08,0.15,0.08,800.00,7.71,400.00,"1,207.71",0.90,0.45,22.2,0
2979,APORNI,27,2,74.0,115.5,2015,13.4,Understory,1-5,Alive,48,Intermediate,1.00,196.48,0.01,0.12,0.06,200.00,5.94,100.00,305.94,0.50,0.25,18.6,0
2980,ALPHMA,27,2,73.9,119.5,2015,0.0,Dead,0,Dead,0,Dead,5.50,0.00,0.00,0.00,0.00,"1,100.00",0.00,550.00,"1,650.00",0.00,0.00,0.0,0
2980A,DACRR1,27,2,0.0,0.0,2015,0.0,Dead,0,Dead,0,Dead,22.00,0.00,0.00,0.00,0.00,"4,400.00",0.00,"2,200.00","6,600.00",0.00,0.00,0.0,0
2980B,MEMEMI,27,2,74.5,118.2,2015,13.0,Understory,1-5,Alive,31,Intermediate,3.50,626.56,0.03,0.12,0.06,700.00,5.76,350.00,"1,055.76",0.50,0.25,18.2,7
2980C,KNEMLA,27,2,72.1,118.4,2015,11.2,Understory,1-5,Alive,3,Young,4.00,455.25,0.02,0.10,0.05,800.00,4.96,400.00,"1,204.96",11.20,5.60,16.4,0
2981,XERONO,27,2,74.7,113.5,2015,0.0,Dead,0,Dead,0,Dead,10.50,0.00,0.00,0.00,0.00,"2,100.00",0.00,"1,050.00","3,150.00",0.00,0.00,0.0,11
2982,ANI1LA,27,2,78.8,110.3,2015,31.8,Canopy,12-17,Alive,51,Intermediate,5.50,"17,636.75",0.83,0.28,0.14,"1,100.00",14.09,550.00,"1,664.09",1.40,0.70,31.1,0
2982A,KNEMPA,27,2,79.2,119.2,2015,13.9,Understory,1-5,Alive,31,Intermediate,1.00,219.97,0.01,0.12,0.06,200.00,6.16,100.00,306.16,0.50,0.25,19.1,0
2982B,HOPEME,27,2,78.6,118.0,2015,11.9,Understory,1-5,Alive,3,Young,13.00,"1,777.19",0.08,0.11,0.05,"2,600.00",5.27,"1,300.00","3,905.27",11.90,5.95,17.1,0
2983,DACRR1,27,2,78.8,119.6,2015,0.0,Dead,0,Dead,0,Dead,22.00,0.00,0.00,0.00,0.00,"4,400.00",0.00,"2,200.00","6,600.00",0.00,0.00,0.0,0
2984,PTEREC,27,2,78.8,110.1,2015,0.0,Dead,0,Dead,0,,4.00,0.00,0.00,0.00,0.00,800.00,0.00,400.00,"1,200.00",-18.00,-9.00,0.0,0
2985,CALOWA,27,2,74.1,109.1,2015,0.0,Dead,0,Dead,0,Dead,4.00,0.00,0.00,0.00,0.00,800.00,0.00,400.00,"1,200.00",0.00,0.00,0.0,11
2986,PORTAN,27,2,78.2,105.2,2015,0.0,Dead,0,Dead,0,Dead,11.50,0.00,0.00,0.00,0.00,"2,300.00",0.00,"1,150.00","3,450.00",0.00,0.00,0.0,0
2987,PIMEGR,27,2,75.5,101.7,2015,0.0,Dead,0,Dead,0,Dead,10.50,0.00,0.00,0.00,0.00,"2,100.00",0.00,"1,050.00","3,150.00",0.00,0.00,0.0,0
2987A,SHORM1,27,2,76.6,102.8,2015,30.8,Canopy,12-17,Alive,24,Intermediate,21.00,"60,446.60",2.84,0.27,0.14,"4,200.00",13.65,"2,100.00","6,313.65",5.40,2.70,30.6,10
2987B,HOPEME,27,2,76.0,103.5,2015,14.6,Understory,6-11,Alive,3,Young,13.00,"3,329.89",0.16,0.13,0.06,"2,600.00",6.47,"1,300.00","3,906.47",14.60,7.30,19.7,0
2987C,PEN2ST,27,2,74.8,104.8,2015,17.9,Understory,6-11,Alive,3,Young,0.50,243.04,0.01,0.16,0.08,100.00,7.93,50.00,157.93,17.90,8.95,22.6,0
2987D,GIROPA,27,2,77.0,100.8,2015,0.0,Dead,0,Dead,0,Dead,2.50,0.00,0.00,0.00,0.00,500.00,0.00,250.00,750.00,0.00,0.00,0.0,6
2988,PEN1MO,27,2,72.2,100.0,2015,0.0,Dead,0,Dead,0,Dead,4.00,0.00,0.00,0.00,0.00,800.00,0.00,400.00,"1,200.00",0.00,0.00,0.0,0
2990,MONOMA,28,2,42.8,103.9,2015,18.0,Understory,6-11,Alive,54,Intermediate,15.00,"7,421.55",0.35,0.16,0.08,"3,000.00",7.98,"1,500.00","4,507.98",1.20,0.60,22.6,11
2991,MEMEMI,28,2,44.3,104.9,2015,0.0,Dead,0,Dead,0,Dead,3.50,0.00,0.00,0.00,0.00,700.00,0.00,350.00,"1,050.00",0.00,0.00,0.0,7
2991A,POL1JE,28,2,0.0,0.0,2015,0.0,Dead,0,Dead,0,Dead,3.00,0.00,0.00,0.00,0.00,600.00,0.00,300.00,900.00,0.00,0.00,0.0,0
2992,IXONIC,28,2,46.2,104.5,2015,0.0,Dead,0,Dead,0,,10.50,0.00,0.00,0.00,0.00,"2,100.00",0.00,"1,050.00","3,150.00",-46.50,-23.25,0.0,0
2992A,BOUEMA,28,2,45.4,104.7,2015,10.9,Understory,1-5,Alive,3,Young,2.00,209.78,0.01,0.10,0.05,400.00,4.83,200.00,604.83,10.90,5.45,16.1,14
2993,INTSPA,28,2,49.8,103.8,2015,45.0,Canopy,18-23,Alive,61,Mature,3.00,"31,847.24",1.50,0.40,0.20,600.00,19.94,300.00,919.94,-1.00,-0.50,36.4,0
2993A,CYNOMA,28,2,49.2,103.2,2015,17.0,Understory,6-11,Alive,31,Intermediate,5.00,"2,063.64",0.10,0.15,0.08,"1,000.00",7.53,500.00,"1,507.53",1.00,0.50,21.8,0
2995,GANUSN,28,2,49.6,100.3,2015,0.0,Dead,0,Dead,0,Dead,4.00,0.00,0.00,0.00,0.00,800.00,0.00,400.00,"1,200.00",0.00,0.00,0.0,0
2996,ARCHBU,28,2,50.8,101.1,2015,0.0,Dead,0,Dead,0,Dead,11.50,0.00,0.00,0.00,0.00,"2,300.00",0.00,"1,150.00","3,450.00",0.00,0.00,0.0,0
2997,XANTEU,28,2,47.4,110.0,2015,0.0,Dead,0,Dead,0,Dead,16.00,0.00,0.00,0.00,0.00,"3,200.00",0.00,"1,600.00","4,800.00",0.00,0.00,0.0,15
2998,XANTEU,28,2,49.9,108.2,2015,15.8,Understory,6-11,Alive,50,Intermediate,16.00,"5,244.26",0.25,0.14,0.07,"3,200.00",7.00,"1,600.00","4,807.00",0.00,0.00,20.8,15
2998A,XANTEU,28,2,40.0,100.0,2015,11.3,Understory,1-5,Alive,36,Intermediate,16.00,"1,870.46",0.09,0.10,0.05,"3,200.00",5.01,"1,600.00","4,805.01",0.10,0.05,16.5,15
2999,APORAR,28,2,49.5,108.3,2015,0.0,Dead,0,Dead,0,Dead,2.50,0.00,0.00,0.00,0.00,500.00,0.00,250.00,750.00,0.00,0.00,0.0,16
3000,NEPHER,28,2,41.6,108.3,2015,18.6,Understory,6-11,Alive,50,Intermediate,2.50,"1,373.23",0.06,0.16,0.08,500.00,8.24,250.00,758.24,0.20,0.10,23.1,0
3000A,CROTLA,28,2,42.2,105.8,2015,0.0,Dead,0,Dead,0,Dead,11.00,0.00,0.00,0.00,0.00,"2,200.00",0.00,"1,100.00","3,300.00",0.00,0.00,0.0,5
3001,DACRR1,28,2,42.6,116.5,2015,0.0,Dead,0,Dead,0,Dead,22.00,0.00,0.00,0.00,0.00,"4,400.00",0.00,"2,200.00","6,600.00",0.00,0.00,0.0,0
3001A,CASTME,28,2,40.4,118.0,2015,12.1,Understory,1-5,Alive,3,Young,2.50,359.51,0.02,0.11,0.05,500.00,5.36,250.00,755.36,12.10,6.05,17.3,0
3002,SHORM2,28,2,44.3,115.9,2015,14.7,Understory,6-11,Alive,44,Intermediate,14.00,"3,662.94",0.17,0.13,0.07,"2,800.00",6.51,"1,400.00","4,206.51",-0.10,-0.05,19.8,0
3002A,LITHWA,28,2,44.7,113.1,2015,31.0,Canopy,12-17,Alive,31,Intermediate,1.50,"4,412.98",0.21,0.27,0.14,300.00,13.74,150.00,463.74,2.40,1.20,30.7,0
3002B,CALOSO,28,2,47.6,113.1,2015,10.6,Understory,1-5,Alive,3,Young,0.50,48.24,0.00,0.09,0.05,100.00,4.70,50.00,154.70,10.60,5.30,15.7,0
3002C,PIMEGR,28,2,48.4,115.2,2015,13.7,Understory,1-5,Alive,3,Young,10.50,"2,208.66",0.10,0.12,0.06,"2,100.00",6.07,"1,050.00","3,156.07",13.70,6.85,18.9,0
3003,CALOWA,28,2,48.7,117.1,2015,0.0,Dead,0,Dead,0,Dead,4.00,0.00,0.00,0.00,0.00,800.00,0.00,400.00,"1,200.00",0.00,0.00,0.0,11
3003A,RYPAKU,28,2,48.4,111.4,2015,12.1,Understory,1-5,Alive,24,Intermediate,11.00,"1,581.86",0.07,0.11,0.05,"2,200.00",5.36,"1,100.00","3,305.36",0.40,0.20,17.3,0
3003B,SINDEC,28,2,48.6,115.2,2015,18.4,Understory,6-11,Alive,24,Intermediate,1.00,530.66,0.02,0.16,0.08,200.00,8.15,100.00,308.15,1.00,0.50,23.0,0
3003C,DIPLMA,28,2,51.5,111.0,2015,15.9,Understory,6-11,Alive,3,Young,5.50,"1,838.74",0.09,0.14,0.07,"1,100.00",7.05,550.00,"1,657.05",15.90,7.95,20.9,0
3003D,BACCPY,28,2,54.6,111.5,2015,10.5,Understory,1-5,Alive,3,Young,1.50,140.66,0.01,0.09,0.05,300.00,4.65,150.00,454.65,10.50,5.25,15.6,24
3004,BUCHSE,28,2,53.8,117.3,2015,0.0,Dead,0,Dead,0,Dead,6.50,0.00,0.00,0.00,0.00,"1,300.00",0.00,650.00,"1,950.00",0.00,0.00,0.0,0
3005,MEMEMI,28,2,55.1,119.7,2015,0.0,Dead,0,Dead,0,Dead,3.50,0.00,0.00,0.00,0.00,700.00,0.00,350.00,"1,050.00",0.00,0.00,0.0,7
3006,RYPAKU,28,2,56.5,113.7,2015,19.9,Understory,6-11,Alive,50,Intermediate,11.00,"7,503.43",0.35,0.18,0.09,"2,200.00",8.82,"1,100.00","3,308.82",0.70,0.35,24.1,0
3007,ADENBI,28,2,59.4,116.0,2015,31.2,Canopy,12-17,Alive,49,Intermediate,1.50,"4,509.89",0.21,0.28,0.14,300.00,13.82,150.00,463.82,1.70,0.85,30.8,5
3007A,PIMEGR,28,2,57.0,117.8,2015,0.0,Dead,0,Dead,0,Dead,10.50,0.00,0.00,0.00,0.00,"2,100.00",0.00,"1,050.00","3,150.00",0.00,0.00,0.0,0
3007B,GARCPA,28,2,56.8,115.1,2015,14.4,Understory,6-11,Alive,3,Young,2.00,490.81,0.02,0.13,0.06,400.00,6.38,200.00,606.38,14.40,7.20,19.6,0
3007C,BEILP2,28,2,56.2,117.4,2015,10.9,Understory,1-5,Alive,3,Young,1.00,104.89,0.00,0.10,0.05,200.00,4.83,100.00,304.83,10.90,5.45,16.1,5
3007D,EUGESC,28,2,57.4,114.6,2015,10.5,Understory,1-5,Alive,3,Young,0.50,46.89,0.00,0.09,0.05,100.00,4.65,50.00,154.65,10.50,5.25,15.6,0
3007E,ALPHMA,28,2,56.4,117.0,2015,0.0,Dead,0,Dead,0,Dead,5.50,0.00,0.00,0.00,0.00,"1,100.00",0.00,550.00,"1,650.00",0.00,0.00,0.0,0
3008,SHORM1,28,2,59.5,112.7,2015,0.0,Dead,0,Dead,0,Dead,21.00,0.00,0.00,0.00,0.00,"4,200.00",0.00,"2,100.00","6,300.00",0.00,0.00,0.0,10
3009,HORSS2,28,2,54.6,109.5,2015,0.0,Dead,0,Dead,0,Dead,2.50,0.00,0.00,0.00,0.00,500.00,0.00,250.00,750.00,0.00,0.00,0.0,0
3010,KOOMMA,28,2,56.9,108.3,2015,116.3,Emergent,>24,Alive,79,Mature,4.50,"1,572,640.51",73.91,1.03,0.52,900.00,51.53,450.00,"1,401.53",0.00,0.00,48.3,7
3010A,MESUFE,28,2,0.0,0.0,2015,0.0,Dead,0,Dead,0,Dead,7.50,0.00,0.00,0.00,0.00,"1,500.00",0.00,750.00,"2,250.00",0.00,0.00,0.0,0
3011,PHYLEM,28,2,55.6,106.6,2015,0.0,Dead,0,Dead,0,Dead,0.50,0.00,0.00,0.00,0.00,100.00,0.00,50.00,150.00,0.00,0.00,0.0,0
3012,ONCOMO,28,2,58.3,100.9,2015,0.0,Dead,0,Dead,0,Dead,2.00,0.00,0.00,0.00,0.00,400.00,0.00,200.00,600.00,0.00,0.00,0.0,0
3013,BEILDI,28,2,59.3,100.7,2015,0.0,Dead,0,Dead,0,Dead,5.00,0.00,0.00,0.00,0.00,"1,000.00",0.00,500.00,"1,500.00",0.00,0.00,0.0,6
3014,LEPISE,28,2,53.1,100.8,2015,13.2,Understory,1-5,Alive,49,Intermediate,5.50,"1,031.82",0.05,0.12,0.06,"1,100.00",5.85,550.00,"1,655.85",0.00,0.00,18.4,0
3015,SCHOAC,29,2,26.0,101.0,2015,64.2,Emergent,>24,Alive,65,Mature,2.00,"75,590.38",3.55,0.57,0.28,400.00,28.45,200.00,628.45,0.00,0.00,41.4,0
3016,ARTOLO,29,2,26.8,100.5,2015,28.6,Understory,6-11,Alive,50,Intermediate,2.00,"4,487.52",0.21,0.25,0.13,400.00,12.67,200.00,612.67,1.40,0.70,29.5,0
3017,DACRR1,29,2,31.8,100.1,2015,19.6,Understory,6-11,Alive,52,Intermediate,22.00,"14,291.50",0.67,0.17,0.09,"4,400.00",8.68,"2,200.00","6,608.68",0.30,0.15,23.9,0
3018,DACRR1,29,2,31.5,101.9,2015,17.9,Understory,6-11,Alive,51,Intermediate,22.00,"10,693.74",0.50,0.16,0.08,"4,400.00",7.93,"2,200.00","6,607.93",0.10,0.05,22.6,0
3019,MALLPE,29,2,28.2,104.5,2015,0.0,Dead,0,Dead,0,Dead,6.00,0.00,0.00,0.00,0.00,"1,200.00",0.00,600.00,"1,800.00",0.00,0.00,0.0,0
3020,XANTGR,29,2,21.0,101.9,2015,0.0,Dead,0,Dead,0,Dead,4.00,0.00,0.00,0.00,0.00,800.00,0.00,400.00,"1,200.00",0.00,0.00,0.0,5
3021,DYSOCA,29,2,21.1,102.7,2015,0.0,Dead,0,Dead,0,Dead,0.50,0.00,0.00,0.00,0.00,100.00,0.00,50.00,150.00,0.00,0.00,0.0,5
3022,SAR1GR,29,2,29.0,107.7,2015,46.2,Canopy,18-23,Alive,53,Intermediate,5.00,"58,222.65",2.74,0.41,0.20,"1,000.00",20.47,500.00,"1,520.47",1.70,0.85,36.7,9
3023,EUGECL,29,2,27.1,109.1,2015,43.9,Canopy,12-17,Alive,53,Intermediate,4.00,"38,934.30",1.83,0.39,0.19,800.00,19.45,400.00,"1,219.45",3.40,1.70,36.0,0
3023A,SHORM1,29,2,26.4,109.5,2015,20.1,Understory,6-11,Alive,3,Young,21.00,"14,793.47",0.70,0.18,0.09,"4,200.00",8.91,"2,100.00","6,308.91",20.10,10.05,24.2,10
3023B,SHORM2,29,2,27.8,108.2,2015,29.9,Understory,12-17,Alive,3,Young,14.00,"36,466.05",1.71,0.26,0.13,"2,800.00",13.25,"1,400.00","4,213.25",29.90,14.95,30.2,0
3024,LANSDO,29,2,23.2,108.8,2015,28.4,Understory,6-11,Alive,51,Intermediate,6.50,"14,245.92",0.67,0.25,0.13,"1,300.00",12.58,650.00,"1,962.58",0.30,0.15,29.4,0
3024A,MALLPE,29,2,20.6,112.0,2015,11.0,Understory,1-5,Alive,3,Young,6.00,646.84,0.03,0.10,0.05,"1,200.00",4.87,600.00,"1,804.87",11.00,5.50,16.2,0
3025,DRYPLO,29,2,30.3,109.8,2015,0.0,Dead,0,Dead,0,Dead,8.50,0.00,0.00,0.00,0.00,"1,700.00",0.00,850.00,"2,550.00",0.00,0.00,0.0,0
3026,MALLPE,29,2,32.2,108.0,2015,0.0,Dead,0,Dead,0,Dead,6.00,0.00,0.00,0.00,0.00,"1,200.00",0.00,600.00,"1,800.00",0.00,0.00,0.0,0
3026A,CROTLA,29,2,0.0,0.0,2015,0.0,Dead,0,Dead,0,Dead,11.00,0.00,0.00,0.00,0.00,"2,200.00",0.00,"1,100.00","3,300.00",0.00,0.00,0.0,5
3027,MACALO,29,2,33.3,109.7,2015,0.0,Dead,0,Dead,0,Dead,17.00,0.00,0.00,0.00,0.00,"3,400.00",0.00,"1,700.00","5,100.00",0.00,0.00,0.0,0
3028,XANTEU,29,2,29.9,111.2,2015,0.0,Dead,0,Dead,0,Dead,16.00,0.00,0.00,0.00,0.00,"3,200.00",0.00,"1,600.00","4,800.00",0.00,0.00,0.0,15
3029,MALLPE,29,2,29.1,112.3,2015,0.0,Dead,0,Dead,0,Dead,6.00,0.00,0.00,0.00,0.00,"1,200.00",0.00,600.00,"1,800.00",0.00,0.00,0.0,0
3030,XANTRU,29,2,25.3,113.5,2015,31.0,Canopy,12-17,Alive,55,Intermediate,4.00,"11,767.96",0.55,0.27,0.14,800.00,13.74,400.00,"1,213.74",0.60,0.30,30.7,6
3031,OCHAAM,29,2,21.6,112.0,2015,0.0,Dead,0,Dead,0,Dead,10.00,0.00,0.00,0.00,0.00,"2,000.00",0.00,"1,000.00","3,000.00",0.00,0.00,0.0,0
3032,MALLPE,29,2,23.6,116.4,2015,0.0,Dead,0,Dead,0,Dead,6.00,0.00,0.00,0.00,0.00,"1,200.00",0.00,600.00,"1,800.00",0.00,0.00,0.0,0
3033,MALLPE,29,2,21.8,116.8,2015,0.0,Dead,0,Dead,0,Dead,6.00,0.00,0.00,0.00,0.00,"1,200.00",0.00,600.00,"1,800.00",0.00,0.00,0.0,0
3034,CROTLA,29,2,21.8,118.4,2015,0.0,Dead,0,Dead,0,,11.00,0.00,0.00,0.00,0.00,"2,200.00",0.00,"1,100.00","3,300.00",-26.40,-13.20,0.0,5
3034A,SHORM1,29,2,39.6,108.5,2015,28.3,Understory,6-11,Alive,24,Intermediate,21.00,"45,485.46",2.14,0.25,0.13,"4,200.00",12.54,"2,100.00","6,312.54",9.20,4.60,29.4,10
3034B,SHORM1,29,2,22.0,119.8,2015,0.0,Dead,0,Dead,0,Dead,21.00,0.00,0.00,0.00,0.00,"4,200.00",0.00,"2,100.00","6,300.00",0.00,0.00,0.0,10
3035,MALLPE,29,2,23.4,118.5,2015,0.0,Dead,0,Dead,0,Dead,6.00,0.00,0.00,0.00,0.00,"1,200.00",0.00,600.00,"1,800.00",0.00,0.00,0.0,0
3036,MALLPE,29,2,28.8,117.6,2015,0.0,Dead,0,Dead,0,Dead,6.00,0.00,0.00,0.00,0.00,"1,200.00",0.00,600.00,"1,800.00",0.00,0.00,0.0,0
3037,LITHEW,29,2,29.3,118.2,2015,0.0,Dead,0,Dead,0,Dead,3.00,0.00,0.00,0.00,0.00,600.00,0.00,300.00,900.00,0.00,0.00,0.0,0
3038,DRYPLO,29,2,28.6,116.3,2015,0.0,Dead,0,Dead,0,Dead,8.50,0.00,0.00,0.00,0.00,"1,700.00",0.00,850.00,"2,550.00",0.00,0.00,0.0,0
3039,ARCHBU,29,2,29.5,116.3,2015,0.0,Dead,0,Dead,0,Dead,11.50,0.00,0.00,0.00,0.00,"2,300.00",0.00,"1,150.00","3,450.00",0.00,0.00,0.0,0
3041,XANTEU,29,2,35.1,115.3,2015,12.5,Understory,1-5,Alive,49,Intermediate,16.00,"2,540.49",0.12,0.11,0.06,"3,200.00",5.54,"1,600.00","4,805.54",-0.30,-0.15,17.7,15
3042,SCHOAC,29,2,36.4,117.3,2015,69.4,Emergent,>24,Alive,58,Intermediate,2.00,"100,452.99",4.72,0.62,0.31,400.00,30.75,200.00,630.75,0.00,0.00,42.4,0
3042A,SHORM1,29,2,35.2,117.4,2015,14.0,Understory,6-11,Alive,31,Intermediate,21.00,"4,722.95",0.22,0.12,0.06,"4,200.00",6.20,"2,100.00","6,306.20",0.60,0.30,19.2,10
3042B,SHORP1,29,2,35.4,116.6,2015,13.9,Understory,1-5,Alive,3,Young,12.00,"2,639.69",0.12,0.12,0.06,"2,400.00",6.16,"1,200.00","3,606.16",13.90,6.95,19.1,0
3043,PALAH2,29,2,39.7,117.6,2015,27.6,Understory,6-11,Alive,53,Intermediate,1.50,"2,988.26",0.14,0.24,0.12,300.00,12.23,150.00,462.23,0.00,0.00,29.0,0
3044,DRYPLO,29,2,40.0,119.3,2015,0.0,Dead,0,Dead,0,,8.50,0.00,0.00,0.00,0.00,"1,700.00",0.00,850.00,"2,550.00",-60.50,-30.25,0.0,0
3045,HORSPO,29,2,38.1,114.1,2015,19.5,Understory,6-11,Alive,49,Intermediate,2.00,"1,278.06",0.06,0.17,0.09,400.00,8.64,200.00,608.64,0.30,0.15,23.8,0
3045A,EUGENA,29,2,38.6,113.0,2015,13.8,Understory,1-5,Alive,3,Young,1.50,322.68,0.02,0.12,0.06,300.00,6.11,150.00,456.11,13.80,6.90,19.0,0
3046,EUGEC1,29,2,37.0,113.9,2015,0.0,Dead,0,Dead,0,Dead,8.00,0.00,0.00,0.00,0.00,"1,600.00",0.00,800.00,"2,400.00",0.00,0.00,0.0,0
3047,NEPHER,29,2,39.0,109.4,2015,27.9,Understory,6-11,Alive,51,Intermediate,2.50,"5,163.39",0.24,0.25,0.12,500.00,12.36,250.00,762.36,-10.60,-5.30,29.1,0
3047A,HOPEME,29,2,39.4,108.5,2015,10.9,Understory,1-5,Alive,3,Young,13.00,"1,363.55",0.06,0.10,0.05,"2,600.00",4.83,"1,300.00","3,904.83",10.90,5.45,16.1,0
3048,MACALO,29,2,32.7,114.5,2015,0.0,Dead,0,Dead,0,Dead,17.00,0.00,0.00,0.00,0.00,"3,400.00",0.00,"1,700.00","5,100.00",0.00,0.00,0.0,0
3049,DACRRO,29,2,33.2,116.8,2015,20.6,Understory,6-11,Alive,48,Intermediate,4.50,"3,431.54",0.16,0.18,0.09,900.00,9.13,450.00,"1,359.13",0.40,0.20,24.6,7
3050,LANSDO,29,2,38.0,105.8,2015,17.1,Understory,6-11,Alive,50,Intermediate,6.50,"2,732.96",0.13,0.15,0.08,"1,300.00",7.58,650.00,"1,957.58",0.20,0.10,21.9,0
3051,DIOSAP,30,2,2.8,100.3,2015,0.0,Dead,0,Dead,0,Dead,3.50,0.00,0.00,0.00,0.00,700.00,0.00,350.00,"1,050.00",0.00,0.00,0.0,8
3052,DURIGR,30,2,3.2,102.9,2015,28.4,Understory,6-11,Alive,54,Intermediate,3.50,"7,670.88",0.36,0.25,0.13,700.00,12.58,350.00,"1,062.58",-1.20,-0.60,29.4,0
