TAG,Species,QUAD,Hectare,XCO,YCO,Year,DBH,Size Class,Size Class by Inch,Status,Age,Age Class,Density,AGB,Carbon,Basal Area,Dom,RFre,RDom,RDen,IV,Growth,Growth rate,Height,LifeSpan,harvested
2671,TEIJCO,15,1,89.9,59.5,2019,52.3,Canopy,18-23,Alive,63,Mature,1.5,"27,099.68",1.27,0.46,0.23,300.00,23.17,150.00,473.17,-7.7,-3.85,38.5,0,1
2671,TEIJCO,15,1,89.9,59.5,2019,52.3,Canopy,18-23,Alive,63,Mature,1.5,"27,099.68",1.27,0.46,0.23,300.00,23.17,150.00,473.17,-7.7,-3.85,38.5,0,1
2671,TEIJCO,15,1,89.9,59.5,2019,52.3,Canopy,18-23,Alive,63,Mature,1.5,"27,099.68",1.27,0.46,0.23,300.00,23.17,150.00,473.17,-7.7,-3.85,38.5,0,1
2671,TEIJCO,15,1,89.9,59.5,2019,52.3,Canopy,18-23,Alive,63,Mature,1.5,"27,099.68",1.27,0.46,0.23,300.00,23.17,150.00,473.17,-7.7,-3.85,38.5,0,1
2671,TEIJCO,15,1,89.9,59.5,2019,52.3,Canopy,18-23,Alive,63,Mature,1.5,"27,099.68",1.27,0.46,0.23,300.00,23.17,150.00,473.17,-7.7,-3.85,38.5,0,1
2671,TEIJCO,15,1,89.9,59.5,2019,52.3,Canopy,18-23,Alive,63,Mature,1.5,"27,099.68",1.27,0.46,0.23,300.00,23.17,150.00,473.17,-7.7,-3.85,38.5,0,1
2671,TEIJCO,15,1,89.9,59.5,2019,52.3,Canopy,18-23,Alive,63,Mature,1.5,"27,099.68",1.27,0.46,0.23,300.00,23.17,150.00,473.17,-7.7,-3.85,38.5,0,1
2671,TEIJCO,15,1,89.9,59.5,2019,52.3,Canopy,18-23,Alive,63,Mature,1.5,"27,099.68",1.27,0.46,0.23,300.00,23.17,150.00,473.17,-7.7,-3.85,38.5,0,1
2671,TEIJCO,15,1,89.9,59.5,2019,52.3,Canopy,18-23,Alive,63,Mature,1.5,"27,099.68",1.27,0.46,0.23,300.00,23.17,150.00,473.17,-7.7,-3.85,38.5,0,1
2671,TEIJCO,15,1,89.9,59.5,2019,52.3,Canopy,18-23,Alive,63,Mature,1.5,"27,099.68",1.27,0.46,0.23,300.00,23.17,150.00,473.17,-7.7,-3.85,38.5,0,1
2671,TEIJCO,15,1,89.9,59.5,2019,52.3,Canopy,18-23,Alive,63,Mature,1.5,"27,099.68",1.27,0.46,0.23,300.00,23.17,150.00,473.17,-7.7,-3.85,38.5,0,1
2674A,AGLASP,15,1,97.2,51.2,2019,10.8,Understory,1-5,Alive,4,Young,1.0,102.03,0.0,0.1,0.05,200.00,4.79,100.00,304.79,0.0,0.0,16.0,40,0
2676,XANTST,15,1,96.3,59.5,2019,45.5,Canopy,18-23,Alive,72,Mature,3.5,"38,625.33",1.82,0.4,0.2,700.00,20.16,350.00,"1,070.16",1.4,0.7,36.5,0,1
2676A,NEOSKI,15,1,94.8,57.0,2019,10.8,Understory,1-5,Alive,7,Young,6.5,663.18,0.03,0.1,0.05,"1,300.00",4.79,650.00,"1,954.79",-0.2,-0.1,16.0,0,0
2677B,TEIJCO,15,1,99.4,41.8,2019,14.0,Understory,6-11,Alive,40,Intermediate,1.5,337.35,0.02,0.12,0.06,300.00,6.2,150.00,456.20,0.0,0.0,19.2,0,0
2677C,LITHRA,15,1,97.8,44.0,2019,30.7,Canopy,12-17,Alive,28,Intermediate,1.5,"4,270.50",0.2,0.27,0.14,300.00,13.6,150.00,463.60,1.7,0.85,30.6,0,1
2677D,SHORP1,15,1,97.2,44.2,2019,15.5,Understory,6-11,Alive,7,Young,12.0,"3,703.98",0.17,0.14,0.07,"2,400.00",6.87,"1,200.00","3,606.87",2.2,1.1,20.6,0,1
2677D,SHORP1,15,1,97.2,44.2,2019,15.5,Understory,6-11,Alive,7,Young,12.0,"3,703.98",0.17,0.14,0.07,"2,400.00",6.87,"1,200.00","3,606.87",2.2,1.1,20.6,0,1
2677E,VATIOD,15,1,97.0,44.6,2019,11.7,Understory,1-5,Alive,7,Young,0.5,64.93,0.0,0.1,0.05,100.00,5.18,50.00,155.18,0.0,0.0,16.9,6,0
2677F,ALPHEL,15,1,95.2,45.8,2019,13.5,Understory,1-5,Alive,7,Young,3.5,703.60,0.03,0.12,0.06,700.00,5.98,350.00,"1,055.98",0.0,0.0,18.7,0,1
2679,SHORM2,15,1,93.0,44.4,2019,16.2,Understory,6-11,Alive,48,Intermediate,14.0,"4,963.47",0.23,0.14,0.07,"2,800.00",7.18,"1,400.00","4,207.18",0.3,0.15,21.2,0,0
2682,DIPTC1,16,1,85.1,61.6,2019,42.6,Canopy,12-17,Alive,59,Intermediate,13.5,"118,295.67",5.56,0.38,0.19,"2,700.00",18.88,"1,350.00","4,068.88",0.6,0.3,35.5,6,0
2682A,MEMEO1,16,1,81.0,62.0,2019,15.9,Understory,6-11,Alive,35,Intermediate,0.5,167.16,0.01,0.14,0.07,100.00,7.05,50.00,157.05,1.3,0.65,20.9,0,0
2682D,PELLSA,16,1,80.5,60.5,2019,16.3,Understory,6-11,Alive,7,Young,0.5,180.73,0.01,0.14,0.07,100.00,7.22,50.00,157.22,0.1,0.05,21.2,9,1
2683,XANTEU,16,1,90.4,70.2,2019,14.4,Understory,6-11,Alive,52,Intermediate,16.0,"3,926.52",0.18,0.13,0.06,"3,200.00",6.38,"1,600.00","4,806.38",-0.1,-0.05,19.6,15,1
2683,XANTEU,16,1,90.4,70.2,2019,14.4,Understory,6-11,Alive,52,Intermediate,16.0,"3,926.52",0.18,0.13,0.06,"3,200.00",6.38,"1,600.00","4,806.38",-0.1,-0.05,19.6,15,1
2683,XANTEU,16,1,90.4,70.2,2019,14.4,Understory,6-11,Alive,52,Intermediate,16.0,"3,926.52",0.18,0.13,0.06,"3,200.00",6.38,"1,600.00","4,806.38",-0.1,-0.05,19.6,15,1
2683,XANTEU,16,1,90.4,70.2,2019,14.4,Understory,6-11,Alive,52,Intermediate,16.0,"3,926.52",0.18,0.13,0.06,"3,200.00",6.38,"1,600.00","4,806.38",-0.1,-0.05,19.6,15,1
2683,XANTEU,16,1,90.4,70.2,2019,14.4,Understory,6-11,Alive,52,Intermediate,16.0,"3,926.52",0.18,0.13,0.06,"3,200.00",6.38,"1,600.00","4,806.38",-0.1,-0.05,19.6,15,1
2683,XANTEU,16,1,90.4,70.2,2019,14.4,Understory,6-11,Alive,52,Intermediate,16.0,"3,926.52",0.18,0.13,0.06,"3,200.00",6.38,"1,600.00","4,806.38",-0.1,-0.05,19.6,15,1
2683,XANTEU,16,1,90.4,70.2,2019,14.4,Understory,6-11,Alive,52,Intermediate,16.0,"3,926.52",0.18,0.13,0.06,"3,200.00",6.38,"1,600.00","4,806.38",-0.1,-0.05,19.6,15,1
2683A,MONOMA,16,1,95.6,60.2,2019,14.4,Understory,6-11,Alive,28,Intermediate,15.0,"3,681.11",0.17,0.13,0.06,"3,000.00",6.38,"1,500.00","4,506.38",1.1,0.55,19.6,11,0
2683B,SANTLA,16,1,93.3,60.2,2019,13.0,Understory,1-5,Alive,7,Young,9.0,"1,611.16",0.08,0.12,0.06,"1,800.00",5.76,900.00,"2,705.76",0.2,0.1,18.2,4,0
2685,XANTEU,16,1,84.8,69.7,2019,11.9,Understory,1-5,Alive,52,Intermediate,16.0,"2,187.32",0.1,0.11,0.05,"3,200.00",5.27,"1,600.00","4,805.27",0.1,0.05,17.1,15,0
2686,MESUFE,16,1,80.9,71.3,2019,37.0,Canopy,12-17,Alive,59,Intermediate,7.5,"40,327.27",1.9,0.33,0.16,"1,500.00",16.39,750.00,"2,266.39",0.3,0.15,33.4,0,1
2687,DIPTC1,16,1,80.1,71.9,2019,80.2,Emergent,>24,Alive,75,Mature,13.5,"1,156,406.73",54.35,0.71,0.36,"2,700.00",35.54,"1,350.00","4,085.54",0.6,0.3,44.2,6,1
2688,MESURA,16,1,81.3,73.5,2019,25.5,Understory,6-11,Alive,57,Intermediate,8.0,"12,254.05",0.58,0.23,0.11,"1,600.00",11.3,800.00,"2,411.30",0.0,0.0,27.8,0,0
2690,OCHAAM,16,1,85.1,71.7,2019,15.0,Understory,6-11,Alive,4,Young,10.0,"2,786.23",0.13,0.13,0.07,"2,000.00",6.65,"1,000.00","3,006.65",-0.1,-0.05,20.1,0,1
2690,OCHAAM,16,1,85.1,71.7,2019,15.0,Understory,6-11,Alive,4,Young,10.0,"2,786.23",0.13,0.13,0.07,"2,000.00",6.65,"1,000.00","3,006.65",-0.1,-0.05,20.1,0,1
2691,KNEMST,16,1,87.8,78.9,2019,33.1,Canopy,12-17,Alive,56,Intermediate,1.0,"3,673.64",0.17,0.29,0.15,200.00,14.67,100.00,314.67,0.6,0.3,31.7,10,1
2691,KNEMST,16,1,87.8,78.9,2019,33.1,Canopy,12-17,Alive,56,Intermediate,1.0,"3,673.64",0.17,0.29,0.15,200.00,14.67,100.00,314.67,0.6,0.3,31.7,10,1
2691,KNEMST,16,1,87.8,78.9,2019,33.1,Canopy,12-17,Alive,56,Intermediate,1.0,"3,673.64",0.17,0.29,0.15,200.00,14.67,100.00,314.67,0.6,0.3,31.7,10,1
2693,DACRLA,16,1,87.7,76.7,2019,14.2,Understory,6-11,Alive,52,Intermediate,2.5,587.49,0.03,0.13,0.06,500.00,6.29,250.00,756.29,0.2,0.1,19.4,0,1
2695,CYNOMA,16,1,89.9,75.6,2019,60.1,Emergent,>24,Alive,65,Mature,5.0,"148,765.34",6.99,0.53,0.27,"1,000.00",26.63,500.00,"1,526.63",0.9,0.45,40.5,0,1
2695,CYNOMA,16,1,89.9,75.6,2019,60.1,Emergent,>24,Alive,65,Mature,5.0,"148,765.34",6.99,0.53,0.27,"1,000.00",26.63,500.00,"1,526.63",0.9,0.45,40.5,0,1
2695,CYNOMA,16,1,89.9,75.6,2019,60.1,Emergent,>24,Alive,65,Mature,5.0,"148,765.34",6.99,0.53,0.27,"1,000.00",26.63,500.00,"1,526.63",0.9,0.45,40.5,0,1
2695,CYNOMA,16,1,89.9,75.6,2019,60.1,Emergent,>24,Alive,65,Mature,5.0,"148,765.34",6.99,0.53,0.27,"1,000.00",26.63,500.00,"1,526.63",0.9,0.45,40.5,0,1
2695,CYNOMA,16,1,89.9,75.6,2019,60.1,Emergent,>24,Alive,65,Mature,5.0,"148,765.34",6.99,0.53,0.27,"1,000.00",26.63,500.00,"1,526.63",0.9,0.45,40.5,0,1
2695,CYNOMA,16,1,89.9,75.6,2019,60.1,Emergent,>24,Alive,65,Mature,5.0,"148,765.34",6.99,0.53,0.27,"1,000.00",26.63,500.00,"1,526.63",0.9,0.45,40.5,0,1
2695,CYNOMA,16,1,89.9,75.6,2019,60.1,Emergent,>24,Alive,65,Mature,5.0,"148,765.34",6.99,0.53,0.27,"1,000.00",26.63,500.00,"1,526.63",0.9,0.45,40.5,0,1
2695,CYNOMA,16,1,89.9,75.6,2019,60.1,Emergent,>24,Alive,65,Mature,5.0,"148,765.34",6.99,0.53,0.27,"1,000.00",26.63,500.00,"1,526.63",0.9,0.45,40.5,0,1
2695,CYNOMA,16,1,89.9,75.6,2019,60.1,Emergent,>24,Alive,65,Mature,5.0,"148,765.34",6.99,0.53,0.27,"1,000.00",26.63,500.00,"1,526.63",0.9,0.45,40.5,0,1
2695,CYNOMA,16,1,89.9,75.6,2019,60.1,Emergent,>24,Alive,65,Mature,5.0,"148,765.34",6.99,0.53,0.27,"1,000.00",26.63,500.00,"1,526.63",0.9,0.45,40.5,0,1
2695,CYNOMA,16,1,89.9,75.6,2019,60.1,Emergent,>24,Alive,65,Mature,5.0,"148,765.34",6.99,0.53,0.27,"1,000.00",26.63,500.00,"1,526.63",0.9,0.45,40.5,0,1
2695,CYNOMA,16,1,89.9,75.6,2019,60.1,Emergent,>24,Alive,65,Mature,5.0,"148,765.34",6.99,0.53,0.27,"1,000.00",26.63,500.00,"1,526.63",0.9,0.45,40.5,0,1
2695,CYNOMA,16,1,89.9,75.6,2019,60.1,Emergent,>24,Alive,65,Mature,5.0,"148,765.34",6.99,0.53,0.27,"1,000.00",26.63,500.00,"1,526.63",0.9,0.45,40.5,0,1
2695,CYNOMA,16,1,89.9,75.6,2019,60.1,Emergent,>24,Alive,65,Mature,5.0,"148,765.34",6.99,0.53,0.27,"1,000.00",26.63,500.00,"1,526.63",0.9,0.45,40.5,0,1
2695,CYNOMA,16,1,89.9,75.6,2019,60.1,Emergent,>24,Alive,65,Mature,5.0,"148,765.34",6.99,0.53,0.27,"1,000.00",26.63,500.00,"1,526.63",0.9,0.45,40.5,0,1
2696,ELAENI,16,1,91.8,68.4,2019,28.3,Understory,6-11,Alive,48,Intermediate,1.5,"3,248.96",0.15,0.25,0.13,300.00,12.54,150.00,462.54,0.0,0.0,29.4,0,1
2696A,DRYPKI,16,1,90.5,72.0,2019,12.6,Understory,1-5,Alive,7,Young,1.5,244.04,0.01,0.11,0.06,300.00,5.58,150.00,455.58,0.3,0.15,17.8,9,1
2698,BACCSU,16,1,96.2,73.1,2019,18.2,Understory,6-11,Alive,53,Intermediate,0.5,256.24,0.01,0.16,0.08,100.00,8.06,50.00,158.06,-0.3,-0.15,22.8,0,0
2698A,SHOROV,16,1,95.8,74.6,2019,39.8,Canopy,12-17,Alive,48,Intermediate,2.0,"13,834.53",0.65,0.35,0.18,400.00,17.64,200.00,617.64,1.5,0.75,34.5,0,1
2698A,SHOROV,16,1,95.8,74.6,2019,39.8,Canopy,12-17,Alive,48,Intermediate,2.0,"13,834.53",0.65,0.35,0.18,400.00,17.64,200.00,617.64,1.5,0.75,34.5,0,1
2698B,ARTOIS,16,1,94.6,76.5,2019,15.3,Understory,6-11,Alive,48,Intermediate,3.5,"1,037.34",0.05,0.14,0.07,700.00,6.78,350.00,"1,056.78",0.6,0.3,20.4,6,1
2699,ARCHBU,16,1,93.6,68.3,2019,22.5,Understory,6-11,Alive,52,Intermediate,11.5,"11,677.63",0.55,0.2,0.1,"2,300.00",9.97,"1,150.00","3,459.97",-0.5,-0.25,25.9,0,0
2699A,SHORAC,16,1,93.3,70.3,2019,24.9,Understory,6-11,Alive,40,Intermediate,8.5,"12,035.32",0.57,0.22,0.11,"1,700.00",11.03,850.00,"2,561.03",1.8,0.9,27.4,0,1
2699A,SHORAC,16,1,93.3,70.3,2019,24.9,Understory,6-11,Alive,40,Intermediate,8.5,"12,035.32",0.57,0.22,0.11,"1,700.00",11.03,850.00,"2,561.03",1.8,0.9,27.4,0,1
2700,HERIEL,16,1,98.5,65.2,2019,14.5,Understory,6-11,Alive,52,Intermediate,1.0,250.74,0.01,0.13,0.06,200.00,6.42,100.00,306.42,0.4,0.2,19.7,0,0
2705,CALODI,17,1,60.3,60.3,2019,26.4,Understory,6-11,Alive,55,Intermediate,10.0,"17,182.88",0.81,0.23,0.12,"2,000.00",11.7,"1,000.00","3,011.70",0.0,0.0,28.3,5,1
2706,CYATRA,17,1,69.5,60.7,2019,33.1,Canopy,12-17,Alive,56,Intermediate,3.5,"12,857.74",0.6,0.29,0.15,700.00,14.67,350.00,"1,064.67",-0.5,-0.25,31.7,0,1
2707,BARRPE,17,1,69.0,65.5,2019,28.6,Understory,6-11,Alive,57,Intermediate,3.5,"7,853.16",0.37,0.25,0.13,700.00,12.67,350.00,"1,062.67",0.0,0.0,29.5,5,0
2709,DACRLA,17,1,64.3,65.2,2019,11.7,Understory,1-5,Alive,53,Intermediate,2.5,324.65,0.02,0.1,0.05,500.00,5.18,250.00,755.18,-0.1,-0.05,16.9,0,0
2710,SHORAC,17,1,62.5,63.2,2019,58.2,Canopy,18-23,Alive,57,Intermediate,8.5,"225,224.91",10.59,0.52,0.26,"1,700.00",25.79,850.00,"2,575.79",0.9,0.45,40.0,0,1
2712,MONOMA,17,1,63.3,68.9,2019,19.8,Understory,6-11,Alive,52,Intermediate,15.0,"10,067.45",0.47,0.18,0.09,"3,000.00",8.77,"1,500.00","4,508.77",0.3,0.15,24.0,11,1
2713,DIOSMA,17,1,64.1,69.1,2019,18.0,Understory,6-11,Alive,54,Intermediate,0.5,247.39,0.01,0.16,0.08,100.00,7.98,50.00,157.98,0.0,0.0,22.6,6,0
2714,SINDWA,17,1,62.9,72.0,2019,45.0,Canopy,18-23,Alive,61,Mature,1.5,"15,923.62",0.75,0.4,0.2,300.00,19.94,150.00,469.94,0.1,0.05,36.4,8,1
2715,MILLAT,17,1,67.5,71.9,2019,13.8,Understory,1-5,Alive,52,Intermediate,5.5,"1,183.18",0.06,0.12,0.06,"1,100.00",6.11,550.00,"1,656.11",0.2,0.1,19.0,0,1
2717A,AGLAGL,17,1,62.4,74.6,2019,10.8,Understory,1-5,Alive,4,Young,0.5,51.01,0.0,0.1,0.05,100.00,4.79,50.00,154.79,0.3,0.15,16.0,0,0
2718,SHORM1,17,1,62.8,77.0,2019,24.9,Understory,6-11,Alive,53,Intermediate,21.0,"29,734.32",1.4,0.22,0.11,"4,200.00",11.03,"2,100.00","6,311.03",0.7,0.35,27.4,10,1
2719,MILLAT,17,1,62.2,78.4,2019,12.5,Understory,1-5,Alive,48,Intermediate,5.5,873.29,0.04,0.11,0.06,"1,100.00",5.54,550.00,"1,655.54",0.4,0.2,17.7,0,0
2719A,CANTDI,17,1,63.8,78.1,2019,20.7,Understory,6-11,Alive,48,Intermediate,7.0,"5,422.14",0.25,0.18,0.09,"1,400.00",9.17,700.00,"2,109.17",0.0,0.0,24.7,0,1
2720A,KNEMLA,17,1,70.6,70.2,2019,12.0,Understory,1-5,Alive,7,Young,4.0,560.90,0.03,0.11,0.05,800.00,5.32,400.00,"1,205.32",0.1,0.05,17.2,0,0
2724,ELAERU,17,1,75.8,77.3,2019,41.2,Canopy,12-17,Alive,61,Mature,1.5,"11,699.27",0.55,0.37,0.18,300.00,18.26,150.00,468.26,0.0,0.0,35.1,0,1
2724A,CANTDI,17,1,78.7,77.1,2019,16.6,Understory,6-11,Alive,40,Intermediate,7.0,"2,679.86",0.13,0.15,0.07,"1,400.00",7.36,700.00,"2,107.36",-0.2,-0.1,21.5,0,1
2725,MANGG2,17,1,76.2,71.4,2019,45.2,Canopy,18-23,Alive,59,Intermediate,0.5,"5,391.16",0.25,0.4,0.2,100.00,20.03,50.00,170.03,0.7,0.35,36.4,0,1
2728,EUGEPU,17,1,71.8,68.2,2019,14.9,Understory,6-11,Alive,53,Intermediate,2.0,545.75,0.03,0.13,0.07,400.00,6.6,200.00,606.60,0.0,0.0,20.0,0,1
2728A,NEPHCO,17,1,72.5,67.0,2019,11.7,Understory,1-5,Alive,35,Intermediate,2.5,324.65,0.02,0.1,0.05,500.00,5.18,250.00,755.18,-0.1,-0.05,16.9,0,0
2729,SHORM1,17,1,74.3,66.9,2019,27.8,Understory,6-11,Alive,53,Intermediate,21.0,"42,855.70",2.01,0.25,0.12,"4,200.00",12.32,"2,100.00","6,312.32",1.0,0.5,29.1,10,0
2731,BACCRE,17,1,71.3,62.3,2019,17.0,Understory,6-11,Alive,53,Intermediate,5.0,"2,063.64",0.1,0.15,0.08,"1,000.00",7.53,500.00,"1,507.53",0.2,0.1,21.8,0,1
2733,DRYPLO,17,1,72.7,60.2,2019,15.1,Understory,6-11,Alive,54,Intermediate,8.5,"2,417.88",0.11,0.13,0.07,"1,700.00",6.69,850.00,"2,556.69",0.5,0.25,20.2,0,0
2734,VATIBE,18,1,49.3,62.9,2019,19.0,Understory,6-11,Alive,52,Intermediate,5.5,"3,233.81",0.15,0.17,0.08,"1,100.00",8.42,550.00,"1,658.42",0.3,0.15,23.4,4,1
2736,XANTRU,18,1,45.9,63.6,2019,24.0,Understory,6-11,Alive,55,Intermediate,4.0,"5,017.31",0.24,0.21,0.11,800.00,10.63,400.00,"1,210.63",0.0,0.0,26.9,6,0
2736A,MACALO,18,1,45.0,62.3,2019,11.1,Understory,1-5,Alive,7,Young,17.0,"1,883.28",0.09,0.1,0.05,"3,400.00",4.92,"1,700.00","5,104.92",0.0,0.0,16.3,0,0
2737,EUGEO1,18,1,45.8,64.9,2019,56.9,Canopy,18-23,Alive,62,Mature,1.0,"24,428.59",1.15,0.5,0.25,200.00,25.21,100.00,325.21,0.9,0.45,39.7,0,1
2737A,SHORM2,18,1,46.2,66.2,2019,15.0,Understory,6-11,Alive,7,Young,14.0,"3,900.73",0.18,0.13,0.07,"2,800.00",6.65,"1,400.00","4,206.65",0.9,0.45,20.1,0,1
2738A,DACRRO,18,1,48.0,64.0,2019,11.6,Understory,1-5,Alive,7,Young,4.5,569.39,0.03,0.1,0.05,900.00,5.14,450.00,"1,355.14",0.0,0.0,16.8,7,0
2741,BARRPE,18,1,43.1,75.9,2019,17.2,Understory,6-11,Alive,52,Intermediate,3.5,"1,499.01",0.07,0.15,0.08,700.00,7.62,350.00,"1,057.62",0.0,0.0,22.0,5,0
2741A,SHORL2,18,1,41.5,78.2,2019,61.8,Emergent,>24,Alive,48,Intermediate,3.5,"115,195.32",5.41,0.55,0.27,700.00,27.38,350.00,"1,077.38",3.1,1.55,40.8,13,1
2742,DIOSBU,18,1,54.0,72.2,2019,15.2,Understory,6-11,Alive,53,Intermediate,5.0,"1,451.88",0.07,0.13,0.07,"1,000.00",6.74,500.00,"1,506.74",0.0,0.0,20.3,0,0
2742A,POL1RU,18,1,51.8,73.0,2019,10.5,Understory,1-5,Alive,7,Young,1.5,140.66,0.01,0.09,0.05,300.00,4.65,150.00,454.65,0.1,0.05,15.6,0,0
2743,MONOMA,18,1,54.0,71.4,2019,34.8,Canopy,12-17,Alive,58,Intermediate,15.0,"65,364.18",3.07,0.31,0.15,"3,000.00",15.42,"1,500.00","4,515.42",0.6,0.3,32.5,11,1
2743A,GIROPA,18,1,48.4,71.7,2019,11.2,Understory,1-5,Alive,40,Intermediate,2.5,284.53,0.01,0.1,0.05,500.00,4.96,250.00,754.96,-0.2,-0.1,16.4,6,1
2745,SHORM2,18,1,57.3,73.0,2019,93.8,Emergent,>24,Alive,80,Mature,14.0,"2,156,047.26",101.33,0.83,0.42,"2,800.00",41.56,"1,400.00","4,241.56",0.5,0.25,46.0,0,1
2747,ANTICO,18,1,57.8,73.4,2019,20.6,Understory,6-11,Alive,48,Intermediate,1.5,"1,143.85",0.05,0.18,0.09,300.00,9.13,150.00,459.13,0.1,0.05,24.6,0,0
2748A,GARCEU,18,1,48.3,77.5,2019,45.1,Canopy,18-23,Alive,48,Intermediate,0.5,"5,349.39",0.25,0.4,0.2,100.00,19.98,50.00,169.98,1.1,0.55,36.4,0,1
2749,ARTOLO,18,1,55.1,76.2,2019,20.1,Understory,6-11,Alive,4,Young,2.0,"1,408.90",0.07,0.18,0.09,400.00,8.91,200.00,608.91,0.1,0.05,24.2,0,1
2749A,PAYELU,18,1,54.0,76.0,2019,12.1,Understory,1-5,Alive,7,Young,6.0,862.83,0.04,0.11,0.05,"1,200.00",5.36,600.00,"1,805.36",0.0,0.0,17.3,8,0
2749B,PAROVA,18,1,53.2,76.2,2019,12.1,Understory,1-5,Alive,7,Young,3.5,503.32,0.02,0.11,0.05,700.00,5.36,350.00,"1,055.36",0.1,0.05,17.3,6,1
2751,PAROVA,18,1,58.5,68.4,2019,14.4,Understory,6-11,Alive,48,Intermediate,3.5,858.93,0.04,0.13,0.06,700.00,6.38,350.00,"1,056.38",-0.1,-0.05,19.6,6,1
2752A,DIOSAP,18,1,56.2,68.8,2019,13.1,Understory,1-5,Alive,35,Intermediate,3.5,641.46,0.03,0.12,0.06,700.00,5.8,350.00,"1,055.80",-0.8,-0.4,18.3,8,0
2754B,MEL1AN,19,1,23.5,62.6,2019,10.6,Understory,1-5,Alive,7,Young,1.0,96.47,0.0,0.09,0.05,200.00,4.7,100.00,304.70,0.0,0.0,15.7,7,1
2763,XERONO,19,1,25.6,78.7,2019,25.1,Understory,6-11,Alive,55,Intermediate,10.5,"15,264.84",0.72,0.22,0.11,"2,100.00",11.12,"1,050.00","3,161.12",-0.1,-0.05,27.5,11,0
2763A,EUGEP4,19,1,24.2,77.6,2019,27.2,Understory,6-11,Alive,35,Intermediate,0.5,948.79,0.04,0.24,0.12,100.00,12.05,50.00,162.05,1.7,0.85,28.8,8,1
2763B,ARTOKE,19,1,26.2,75.4,2019,11.2,Understory,1-5,Alive,7,Young,1.0,113.81,0.01,0.1,0.05,200.00,4.96,100.00,304.96,0.1,0.05,16.4,12,0
2768A,POL1JE,19,1,33.1,74.0,2019,13.2,Understory,1-5,Alive,7,Young,3.0,562.81,0.03,0.12,0.06,600.00,5.85,300.00,905.85,-2.0,-1.0,18.4,0,1
2771,SHORM1,19,1,35.0,79.6,2019,24.4,Understory,6-11,Alive,55,Intermediate,21.0,"27,812.09",1.31,0.22,0.11,"4,200.00",10.81,"2,100.00","6,310.81",-0.1,-0.05,27.1,10,1
2771A,LITHEW,19,1,33.2,79.4,2019,10.8,Understory,1-5,Alive,4,Young,3.0,306.08,0.01,0.1,0.05,600.00,4.79,300.00,904.79,0.3,0.15,16.0,0,0
2773,GANUSN,19,1,39.3,74.4,2019,15.0,Understory,6-11,Alive,53,Intermediate,4.0,"1,114.49",0.05,0.13,0.07,800.00,6.65,400.00,"1,206.65",0.0,0.0,20.1,0,0
2774A,SHORBR,19,1,34.1,69.5,2019,26.8,Understory,6-11,Alive,48,Intermediate,1.5,"2,709.46",0.13,0.24,0.12,300.00,11.88,150.00,461.88,0.9,0.45,28.5,4,0
2774B,PORTAN,19,1,35.0,69.4,2019,19.8,Understory,6-11,Alive,35,Intermediate,11.5,"7,718.38",0.36,0.18,0.09,"2,300.00",8.77,"1,150.00","3,458.77",0.5,0.25,24.0,0,0
2774C,SHORAC,19,1,36.2,72.0,2019,27.9,Understory,6-11,Alive,35,Intermediate,8.5,"17,555.54",0.83,0.25,0.12,"1,700.00",12.36,850.00,"2,562.36",1.0,0.5,29.1,0,1
2775,DIPTC1,19,1,37.4,66.2,2019,12.6,Understory,1-5,Alive,52,Intermediate,13.5,"2,196.32",0.1,0.11,0.06,"2,700.00",5.58,"1,350.00","4,055.58",-0.2,-0.1,17.8,6,1
2775A,XERONO,19,1,36.4,67.2,2019,12.4,Understory,1-5,Alive,7,Young,10.5,"1,626.84",0.08,0.11,0.05,"2,100.00",5.49,"1,050.00","3,155.49",0.3,0.15,17.6,11,0
2775B,SHORM1,19,1,38.8,67.4,2019,10.9,Understory,1-5,Alive,7,Young,21.0,"2,202.66",0.1,0.1,0.05,"4,200.00",4.83,"2,100.00","6,304.83",0.0,0.0,16.1,10,0
2776,MESUFE,19,1,38.7,64.5,2019,18.6,Understory,6-11,Alive,53,Intermediate,7.5,"4,119.69",0.19,0.16,0.08,"1,500.00",8.24,750.00,"2,258.24",0.1,0.05,23.1,0,1
2777A,NEOBHE,19,1,37.0,62.4,2019,24.6,Understory,6-11,Alive,48,Intermediate,5.0,"6,802.32",0.32,0.22,0.11,"1,000.00",10.9,500.00,"1,510.90",0.6,0.3,27.2,0,1
2777B,GIRONE,19,1,34.4,70.1,2019,31.7,Canopy,12-17,Alive,7,Young,6.0,"19,036.04",0.89,0.28,0.14,"1,200.00",14.05,600.00,"1,814.05",0.6,0.3,31.1,0,1
2777C,SHORP2,19,1,33.5,60.6,2019,10.5,Understory,1-5,Alive,7,Young,11.5,"1,078.40",0.05,0.09,0.05,"2,300.00",4.65,"1,150.00","3,454.65",-1.2,-0.6,15.6,0,0
2778,MANGQU,20,1,4.5,62.7,2019,11.9,Understory,1-5,Alive,52,Intermediate,7.0,956.95,0.04,0.11,0.05,"1,400.00",5.27,700.00,"2,105.27",-0.1,-0.05,17.1,0,0
2778A,MACACO,20,1,1.2,64.0,2019,16.7,Understory,6-11,Alive,7,Young,1.5,585.24,0.03,0.15,0.07,300.00,7.4,150.00,457.40,1.8,0.9,21.6,0,1
